"","shift","variable","rho"
"1",-28,"positivity",-0.647084986346284
"2",-28,"cases",0.0280599446676951
"3",-28,"death",-0.127910372665254
"4",-27,"positivity",-0.638641334972519
"5",-27,"cases",0.0410229618519669
"6",-27,"death",-0.150817873479512
"7",-26,"positivity",-0.630633017005171
"8",-26,"cases",0.0560052276699593
"9",-26,"death",-0.174280589365496
"10",-25,"positivity",-0.62358052683867
"11",-25,"cases",0.0742114048802111
"12",-25,"death",-0.193380790391091
"13",-24,"positivity",-0.619094370241187
"14",-24,"cases",0.0965126330487868
"15",-24,"death",-0.208680528148502
"16",-23,"positivity",-0.614988482860153
"17",-23,"cases",0.120154432336766
"18",-23,"death",-0.22358809037294
"19",-22,"positivity",-0.610473627059871
"20",-22,"cases",0.145090342486514
"21",-22,"death",-0.237664830296095
"22",-21,"positivity",-0.607229155010005
"23",-21,"cases",0.172317652623404
"24",-21,"death",-0.248454856512747
"25",-20,"positivity",-0.604993638726293
"26",-20,"cases",0.203477841949209
"27",-20,"death",-0.255447817394549
"28",-19,"positivity",-0.602851639493395
"29",-19,"cases",0.235189283880183
"30",-19,"death",-0.258875611190791
"31",-18,"positivity",-0.599344003563768
"32",-18,"cases",0.267936879872084
"33",-18,"death",-0.262104033050694
"34",-17,"positivity",-0.588134284286939
"35",-17,"cases",0.289288261091491
"36",-17,"death",-0.282927916678055
"37",-16,"positivity",-0.574377577787082
"38",-16,"cases",0.311559975981091
"39",-16,"death",-0.303097616238977
"40",-15,"positivity",-0.568230590052853
"41",-15,"cases",0.345685337669775
"42",-15,"death",-0.30052175894343
"43",-14,"positivity",-0.561041571246862
"44",-14,"cases",0.378774792679769
"45",-14,"death",-0.296878696044753
"46",-13,"positivity",-0.552119781740495
"47",-13,"cases",0.411345661789951
"48",-13,"death",-0.290395871039689
"49",-12,"positivity",-0.542729184370217
"50",-12,"cases",0.444086783177032
"51",-12,"death",-0.282335511194079
"52",-11,"positivity",-0.524205447306861
"53",-11,"cases",0.466873446389771
"54",-11,"death",-0.292915845162585
"55",-10,"positivity",-0.504003317410874
"56",-10,"cases",0.49114681798069
"57",-10,"death",-0.30187656310007
"58",-9,"positivity",-0.483402802150152
"59",-9,"cases",0.515815134621756
"60",-9,"death",-0.309807752716843
"61",-8,"positivity",-0.461892085100468
"62",-8,"cases",0.540936593889433
"63",-8,"death",-0.31703497293042
"64",-7,"positivity",-0.442120152579168
"65",-7,"cases",0.566948438071779
"66",-7,"death",-0.322867037562526
"67",-6,"positivity",-0.42329171009789
"68",-6,"cases",0.59287680749653
"69",-6,"death",-0.328835811822949
"70",-5,"positivity",-0.405357777237612
"71",-5,"cases",0.618776345505592
"72",-5,"death",-0.33233371546868
"73",-4,"positivity",-0.388428415261019
"74",-4,"cases",0.644193472057445
"75",-4,"death",-0.335501591587367
"76",-3,"positivity",-0.371596437567514
"77",-3,"cases",0.668500302255998
"78",-3,"death",-0.337783566128926
"79",-2,"positivity",-0.356032501514801
"80",-2,"cases",0.6923428683735
"81",-2,"death",-0.339979145463389
"82",-1,"positivity",-0.343212044583636
"83",-1,"cases",0.715012524409017
"84",-1,"death",-0.34022863917198
"85",0,"positivity",-0.332306501848446
"86",0,"cases",0.73691299146285
"87",0,"death",-0.339332806470913
"88",1,"positivity",-0.320811957494939
"89",1,"cases",0.757865163500347
"90",1,"death",-0.336079219843175
"91",2,"positivity",-0.311491822401879
"92",2,"cases",0.776965327676331
"93",2,"death",-0.334826606831232
"94",3,"positivity",-0.304632690467084
"95",3,"cases",0.79356208453154
"96",3,"death",-0.331637365232812
"97",4,"positivity",-0.297820019578357
"98",4,"cases",0.807744035827997
"99",4,"death",-0.329346949894725
"100",5,"positivity",-0.293258339107625
"101",5,"cases",0.819389913012349
"102",5,"death",-0.324423196016464
"103",6,"positivity",-0.288356998823866
"104",6,"cases",0.829286005726206
"105",6,"death",-0.320352588323998
"106",7,"positivity",-0.283376446207223
"107",7,"cases",0.835585592327189
"108",7,"death",-0.315941276289439
"109",8,"positivity",-0.279381422102033
"110",8,"cases",0.839192987904678
"111",8,"death",-0.312469227911745
"112",9,"positivity",-0.275508854704231
"113",9,"cases",0.840332280671661
"114",9,"death",-0.3069798291384
"115",10,"positivity",-0.269209978920808
"116",10,"cases",0.840059793785581
"117",10,"death",-0.302284093004732
"118",11,"positivity",-0.262863595994453
"119",11,"cases",0.837752999725061
"120",11,"death",-0.297727343158055
"121",12,"positivity",-0.256613531112614
"122",12,"cases",0.833405491718233
"123",12,"death",-0.29443273748835
"124",13,"positivity",-0.258286236445141
"125",13,"cases",0.83188376755528
"126",13,"death",-0.297369166595358
"127",14,"positivity",-0.26083701368415
"128",14,"cases",0.827919015227689
"129",14,"death",-0.302431121986258
"130",15,"positivity",-0.262598628171571
"131",15,"cases",0.822513782206702
"132",15,"death",-0.308158848143873
"133",16,"positivity",-0.262827372823086
"134",16,"cases",0.817194568081385
"135",16,"death",-0.313726490303222
"136",17,"positivity",-0.26190314778574
"137",17,"cases",0.808897937581555
"138",17,"death",-0.315589398564198
"139",18,"positivity",-0.261987341733832
"140",18,"cases",0.802488640521621
"141",18,"death",-0.318450410031743
"142",19,"positivity",-0.263302475220059
"143",19,"cases",0.795984008056488
"144",19,"death",-0.320708256379879
"145",20,"positivity",-0.262316442173556
"146",20,"cases",0.788923091750463
"147",20,"death",-0.321682011094557
"148",21,"positivity",-0.260531941884605
"149",21,"cases",0.781795060862307
"150",21,"death",-0.322161200421932
"151",22,"positivity",-0.260306965652499
"152",22,"cases",0.773975614066481
"153",22,"death",-0.322513488304889
"154",23,"positivity",-0.261210679594855
"155",23,"cases",0.765276471536336
"156",23,"death",-0.321262856437384
"157",24,"positivity",-0.263022783218631
"158",24,"cases",0.757814268119159
"159",24,"death",-0.32107999525353
"160",25,"positivity",-0.263253773694728
"161",25,"cases",0.747423249718907
"162",25,"death",-0.315485097298534
"163",26,"positivity",-0.2622000735484
"164",26,"cases",0.735661405816652
"165",26,"death",-0.310657710651165
"166",27,"positivity",-0.261687005738829
"167",27,"cases",0.723333445829991
"168",27,"death",-0.304990568924483
"169",28,"positivity",-0.259712337344022
"170",28,"cases",0.709115777729871
"171",28,"death",-0.296926487648007
