"","shift","variable","rho"
"1",-28,"positivity",0.502671408507021
"2",-28,"cases",-0.621559395416076
"3",-28,"death",-0.569687379839421
"4",-27,"positivity",0.530961741192402
"5",-27,"cases",-0.607286382683552
"6",-27,"death",-0.565013308540417
"7",-26,"positivity",0.557181208763788
"8",-26,"cases",-0.596154091485265
"9",-26,"death",-0.5614058851199
"10",-25,"positivity",0.578284553039947
"11",-25,"cases",-0.588593003334238
"12",-25,"death",-0.560604243745252
"13",-24,"positivity",0.596234610943217
"14",-24,"cases",-0.582978557877002
"15",-24,"death",-0.561205752315813
"16",-23,"positivity",0.611215103503992
"17",-23,"cases",-0.577828603193991
"18",-23,"death",-0.560591556789147
"19",-22,"positivity",0.626464269218137
"20",-22,"cases",-0.5736050185781
"21",-22,"death",-0.557401589320911
"22",-21,"positivity",0.638823852023147
"23",-21,"cases",-0.567987752815525
"24",-21,"death",-0.551576824341717
"25",-20,"positivity",0.643585070119093
"26",-20,"cases",-0.560464671848511
"27",-20,"death",-0.541954521008193
"28",-19,"positivity",0.64759901318224
"29",-19,"cases",-0.552479912621459
"30",-19,"death",-0.532964208451712
"31",-18,"positivity",0.651657565993444
"32",-18,"cases",-0.543344538787689
"33",-18,"death",-0.521235577115999
"34",-17,"positivity",0.650050826411734
"35",-17,"cases",-0.529980356170949
"36",-17,"death",-0.502800234216411
"37",-16,"positivity",0.649126661951814
"38",-16,"cases",-0.516850701083414
"39",-16,"death",-0.481544473913031
"40",-15,"positivity",0.654793853314121
"41",-15,"cases",-0.504282068289639
"42",-15,"death",-0.460513682149158
"43",-14,"positivity",0.654632744790639
"44",-14,"cases",-0.486658879123219
"45",-14,"death",-0.432920312691248
"46",-13,"positivity",0.654438868490192
"47",-13,"cases",-0.464949678552872
"48",-13,"death",-0.398802018522378
"49",-12,"positivity",0.646085263749323
"50",-12,"cases",-0.435114063973891
"51",-12,"death",-0.357521731116304
"52",-11,"positivity",0.62990579341967
"53",-11,"cases",-0.40013925746522
"54",-11,"death",-0.311534175408187
"55",-10,"positivity",0.613077373062322
"56",-10,"cases",-0.36104119602713
"57",-10,"death",-0.2636794177541
"58",-9,"positivity",0.629756475101317
"59",-9,"cases",-0.344346480345118
"60",-9,"death",-0.233375945634042
"61",-8,"positivity",0.62807897517661
"62",-8,"cases",-0.305059376732764
"63",-8,"death",-0.180655726795093
"64",-7,"positivity",0.608772475091162
"65",-7,"cases",-0.262879142840304
"66",-7,"death",-0.124046582132603
"67",-6,"positivity",0.599280700998813
"68",-6,"cases",-0.218133998679182
"69",-6,"death",-0.064677038128709
"70",-5,"positivity",0.62332181814612
"71",-5,"cases",-0.199434189472716
"72",-5,"death",-0.0282987482765591
"73",-4,"positivity",0.658875299928826
"74",-4,"cases",-0.179521096947392
"75",-4,"death",0.0103563538730981
"76",-3,"positivity",0.683194811239683
"77",-3,"cases",-0.158912300549279
"78",-3,"death",0.0515290911346436
"79",-2,"positivity",0.709284242911856
"80",-2,"cases",-0.139812791508749
"81",-2,"death",0.0951681898436956
"82",-1,"positivity",0.73450809201311
"83",-1,"cases",-0.120767565345107
"84",-1,"death",0.141514754427971
"85",0,"positivity",0.759372447059844
"86",0,"cases",-0.102799094508369
"87",0,"death",0.191377731541343
"88",1,"positivity",0.776706980694964
"89",1,"cases",-0.0872851299758438
"90",1,"death",0.240084196123147
"91",2,"positivity",0.788373332509251
"92",2,"cases",-0.0717390905735048
"93",2,"death",0.292244742094233
"94",3,"positivity",0.794649726722167
"95",3,"cases",-0.0576916727784734
"96",3,"death",0.345782502487613
"97",4,"positivity",0.795325364647663
"98",4,"cases",-0.0479485330676265
"99",4,"death",0.39897674807485
"100",5,"positivity",0.79287113661514
"101",5,"cases",-0.0403379787180134
"102",5,"death",0.454152977126005
"103",6,"positivity",0.784509804792016
"104",6,"cases",-0.0360480864370273
"105",6,"death",0.509056749888306
"106",7,"positivity",0.769161793816899
"107",7,"cases",-0.0347589222115248
"108",7,"death",0.563289804577297
"109",8,"positivity",0.750999435360688
"110",8,"cases",-0.0361281970266199
"111",8,"death",0.619079256036108
"112",9,"positivity",0.734481611685671
"113",9,"cases",-0.0414541053418725
"114",9,"death",0.668862529684513
"115",10,"positivity",0.714766346534171
"116",10,"cases",-0.0514253113564384
