"","shift","variable","rho"
"1",-28,"positivity",0.18946960777796
"2",-28,"cases",-0.438191457667737
"3",-28,"death",-0.581840650560287
"4",-27,"positivity",0.221109592213082
"5",-27,"cases",-0.44060192965926
"6",-27,"death",-0.583937641165851
"7",-26,"positivity",0.254866083012868
"8",-26,"cases",-0.44359756915485
"9",-26,"death",-0.589698647703544
"10",-25,"positivity",0.277763148125768
"11",-25,"cases",-0.439339247698464
"12",-25,"death",-0.588354622990206
"13",-24,"positivity",0.290220900951826
"14",-24,"cases",-0.426495633843115
"15",-24,"death",-0.574033883617003
"16",-23,"positivity",0.302628909734906
"17",-23,"cases",-0.412283605393444
"18",-23,"death",-0.558628099110689
"19",-22,"positivity",0.326413488737876
"20",-22,"cases",-0.398292065917039
"21",-22,"death",-0.539446383095991
"22",-21,"positivity",0.345956019312715
"23",-21,"cases",-0.378442417784403
"24",-21,"death",-0.517713779161093
"25",-20,"positivity",0.364748164872752
"26",-20,"cases",-0.357157412635544
"27",-20,"death",-0.490151825716065
"28",-19,"positivity",0.383705297183718
"29",-19,"cases",-0.334947056189932
"30",-19,"death",-0.458940306020367
"31",-18,"positivity",0.407161307520141
"32",-18,"cases",-0.314834078025429
"33",-18,"death",-0.432072843268707
"34",-17,"positivity",0.426750231742261
"35",-17,"cases",-0.293940968769673
"36",-17,"death",-0.405034699324229
"37",-16,"positivity",0.447963667613151
"38",-16,"cases",-0.276200254469264
"39",-16,"death",-0.377923958692729
"40",-15,"positivity",0.468306304946324
"41",-15,"cases",-0.259101223862847
"42",-15,"death",-0.343065569182224
"43",-14,"positivity",0.492031742220485
"44",-14,"cases",-0.24083669101041
"45",-14,"death",-0.306758075195018
"46",-13,"positivity",0.5137001918953
"47",-13,"cases",-0.222977884184415
"48",-13,"death",-0.26863601157199
"49",-12,"positivity",0.538311199837079
"50",-12,"cases",-0.205980363460439
"51",-12,"death",-0.233712811655651
"52",-11,"positivity",0.557136993913887
"53",-11,"cases",-0.192203092379185
"54",-11,"death",-0.201830758825108
"55",-10,"positivity",0.575406252880774
"56",-10,"cases",-0.178200579955693
"57",-10,"death",-0.164703063567954
"58",-9,"positivity",0.595942096927082
"59",-9,"cases",-0.162675201298562
"60",-9,"death",-0.123868450073954
"61",-8,"positivity",0.615469585620105
"62",-8,"cases",-0.144294156547528
"63",-8,"death",-0.0832607842091866
"64",-7,"positivity",0.629239737966322
"65",-7,"cases",-0.128209192414277
"66",-7,"death",-0.041712495433036
"67",-6,"positivity",0.640619163848723
"68",-6,"cases",-0.110326447589299
"69",-6,"death",0.000639780013392162
"70",-5,"positivity",0.645999438003192
"71",-5,"cases",-0.0901331332203515
"72",-5,"death",0.0414968952755707
"73",-4,"positivity",0.65352961621255
"74",-4,"cases",-0.0654558678296791
"75",-4,"death",0.086732973054211
"76",-3,"positivity",0.65976144355042
"77",-3,"cases",-0.0453324007457786
"78",-3,"death",0.12548712995851
"79",-2,"positivity",0.657657119620176
"80",-2,"cases",-0.0262097468658585
"81",-2,"death",0.166851455880013
"82",-1,"positivity",0.655505383403886
"83",-1,"cases",-0.00986219135387415
"84",-1,"death",0.202429159577561
"85",0,"positivity",0.655754723272023
"86",0,"cases",0.00831477063581467
"87",0,"death",0.243411795893812
"88",1,"positivity",0.657857316252094
"89",1,"cases",0.0211347299388027
"90",1,"death",0.287841106671488
"91",2,"positivity",0.66003336184408
"92",2,"cases",0.0321225300328496
"93",2,"death",0.333829543538888
"94",3,"positivity",0.656429990437752
"95",3,"cases",0.0412781573155977
"96",3,"death",0.37292910858974
"97",4,"positivity",0.651719858500204
"98",4,"cases",0.0474611870368873
"99",4,"death",0.410147027432755
"100",5,"positivity",0.64697597868985
"101",5,"cases",0.044855126342738
"102",5,"death",0.44551661885856
"103",6,"positivity",0.643978125029144
"104",6,"cases",0.0417071533604641
"105",6,"death",0.486739420868869
"106",7,"positivity",0.638399013027166
"107",7,"cases",0.0332747755645844
"108",7,"death",0.526419352374024
"109",8,"positivity",0.630470296449151
"110",8,"cases",0.0264852673626696
"111",8,"death",0.557637910831721
"112",9,"positivity",0.622862412936273
"113",9,"cases",0.0179805669124417
"114",9,"death",0.583452315859748
"115",10,"positivity",0.615396684723468
"116",10,"cases",0.00446656002941838
"117",10,"death",0.605756648565944
"118",11,"positivity",0.604984052469984
"119",11,"cases",-0.0118528746571458
"120",11,"death",0.624473058117128
"121",12,"positivity",0.596412029160149
"122",12,"cases",-0.0257867875918437
"123",12,"death",0.640518631625981
"124",13,"positivity",0.579720865291577
"125",13,"cases",-0.0429189288312349
"126",13,"death",0.651186853723828
"127",14,"positivity",0.563786180773369
"128",14,"cases",-0.0601392148813307
"129",14,"death",0.662658888187524
"130",15,"positivity",0.546236810098412
"131",15,"cases",-0.0794035649885906
"132",15,"death",0.672208178988851
"133",16,"positivity",0.527875283514614
