"","shift","variable","rho"
"1",-28,"positivity",-0.644476769190933
"2",-28,"cases",0.332185313278678
"3",-28,"death",0.00137434655767535
"4",-27,"positivity",-0.635961963434883
"5",-27,"cases",0.343993972986643
"6",-27,"death",-0.0133459345417479
"7",-26,"positivity",-0.62680472176173
"8",-26,"cases",0.355097959546145
"9",-26,"death",-0.0274461944151738
"10",-25,"positivity",-0.622552922191771
"11",-25,"cases",0.365728619198182
"12",-25,"death",-0.043718809564439
"13",-24,"positivity",-0.615300907782238
"14",-24,"cases",0.376029113137509
"15",-24,"death",-0.0604515667608219
"16",-23,"positivity",-0.608763083546669
"17",-23,"cases",0.386961577776117
"18",-23,"death",-0.0789565771061492
"19",-22,"positivity",-0.607445574770581
"20",-22,"cases",0.400428156096565
"21",-22,"death",-0.0942303653029462
"22",-21,"positivity",-0.609696619494159
"23",-21,"cases",0.417723473353961
"24",-21,"death",-0.105804168864863
"25",-20,"positivity",-0.615756942643898
"26",-20,"cases",0.438265118676279
"27",-20,"death",-0.11119137333967
"28",-19,"positivity",-0.614459575744636
"29",-19,"cases",0.450450525196499
"30",-19,"death",-0.135500984467935
"31",-18,"positivity",-0.617877037832905
"32",-18,"cases",0.473090337786503
"33",-18,"death",-0.137827292022791
"34",-17,"positivity",-0.61669446469054
"35",-17,"cases",0.486684163597848
"36",-17,"death",-0.162294059072807
"37",-16,"positivity",-0.620474823952026
"38",-16,"cases",0.51039735182177
"39",-16,"death",-0.164486277584623
"40",-15,"positivity",-0.616450565772193
"41",-15,"cases",0.525871607739058
"42",-15,"death",-0.186923699453197
"43",-14,"positivity",-0.607427545064115
"44",-14,"cases",0.542037819865441
"45",-14,"death",-0.208205820798958
"46",-13,"positivity",-0.599466506376539
"47",-13,"cases",0.558535412639724
"48",-13,"death",-0.225876470110356
"49",-12,"positivity",-0.590930168238647
"50",-12,"cases",0.574956232344652
"51",-12,"death",-0.242434117911609
"52",-11,"positivity",-0.581621402808564
"53",-11,"cases",0.59152696912103
"54",-11,"death",-0.258812446492781
"55",-10,"positivity",-0.569634656929065
"56",-10,"cases",0.60836909617868
"57",-10,"death",-0.274549368978331
"58",-9,"positivity",-0.556783711066827
"59",-9,"cases",0.626726497646588
"60",-9,"death",-0.286194942888362
"61",-8,"positivity",-0.545799356916467
"62",-8,"cases",0.645071315020613
"63",-8,"death",-0.29815019692636
"64",-7,"positivity",-0.534244421890783
"65",-7,"cases",0.66213367560409
"66",-7,"death",-0.311349593339697
"67",-6,"positivity",-0.524564705621271
"68",-6,"cases",0.67888953657385
"69",-6,"death",-0.325500563328332
"70",-5,"positivity",-0.512693208138519
"71",-5,"cases",0.693580930873127
"72",-5,"death",-0.3400540283602
"73",-4,"positivity",-0.504185129811509
"74",-4,"cases",0.707550872642416
"75",-4,"death",-0.355249864814887
"76",-3,"positivity",-0.497890411348061
"77",-3,"cases",0.720389796913489
"78",-3,"death",-0.370479621258106
"79",-2,"positivity",-0.490403690789772
"80",-2,"cases",0.732748420475847
"81",-2,"death",-0.386216841407038
"82",-1,"positivity",-0.481291828528423
"83",-1,"cases",0.744953898837503
"84",-1,"death",-0.400115654812993
"85",0,"positivity",-0.469918753632827
"86",0,"cases",0.757277691909784
"87",0,"death",-0.410475869473542
"88",1,"positivity",-0.456974674369657
"89",1,"cases",0.768748051671467
"90",1,"death",-0.424287914465782
"91",2,"positivity",-0.445399446411834
"92",2,"cases",0.780186743129226
"93",2,"death",-0.433626162554495
"94",3,"positivity",-0.43077019892123
"95",3,"cases",0.790932865650204
"96",3,"death",-0.441938989547805
"97",4,"positivity",-0.417945196001815
"98",4,"cases",0.800983569046494
"99",4,"death",-0.446908544110537
"100",5,"positivity",-0.407149505759369
"101",5,"cases",0.806976768399441
"102",5,"death",-0.452728733970549
"103",6,"positivity",-0.400243349339634
"104",6,"cases",0.811158479400848
"105",6,"death",-0.455861162826275
"106",7,"positivity",-0.393261082797688
"107",7,"cases",0.813954526771586
"108",7,"death",-0.456845296797523
"109",8,"positivity",-0.386974805199143
"110",8,"cases",0.813415897366819
"111",8,"death",-0.454686283367047
"112",9,"positivity",-0.381162675804183
"113",9,"cases",0.811985755419119
"114",9,"death",-0.451804389462546
"115",10,"positivity",-0.374703542697473
"116",10,"cases",0.809430533674144
"117",10,"death",-0.450504241619237
"118",11,"positivity",-0.36890572518643
"119",11,"cases",0.803362549646669
"120",11,"death",-0.45033453613677
"121",12,"positivity",-0.360363881077902
"122",12,"cases",0.795763696740746
"123",12,"death",-0.451070031937629
"124",13,"positivity",-0.350340237581113
"125",13,"cases",0.785642163723286
"126",13,"death",-0.450031391877327
"127",14,"positivity",-0.349178272745806
"128",14,"cases",0.780228218554059
"129",14,"death",-0.456829142003503
"130",15,"positivity",-0.346543400951758
"131",15,"cases",0.773884308409757
"132",15,"death",-0.458310267358735
"133",16,"positivity",-0.341476251883319
"134",16,"cases",0.764773932044884
"135",16,"death",-0.458939132469371
"136",17,"positivity",-0.33561798468925
"137",17,"cases",0.753307503173724
"138",17,"death",-0.455078050860808
"139",18,"positivity",-0.32213595625102
"140",18,"cases",0.741254971175454
"141",18,"death",-0.444792215091248
"142",19,"positivity",-0.31221349885414
"143",19,"cases",0.731012459759206
"144",19,"death",-0.42932781128681
"145",20,"positivity",-0.305227137914989
"146",20,"cases",0.722886853498579
"147",20,"death",-0.421584267966885
"148",21,"positivity",-0.303795059161337
"149",21,"cases",0.715879593509344
"150",21,"death",-0.412266283719971
"151",22,"positivity",-0.299937290166685
"152",22,"cases",0.706113949978359
"153",22,"death",-0.400270752791101
"154",23,"positivity",-0.298380629236261
"155",23,"cases",0.696820525683299
"156",23,"death",-0.390163569789988
"157",24,"positivity",-0.291916253085764
"158",24,"cases",0.684633480529569
"159",24,"death",-0.377074899796005
"160",25,"positivity",-0.289345776373722
"161",25,"cases",0.672888844204036
"162",25,"death",-0.365403535469985
"163",26,"positivity",-0.284406282448982
"164",26,"cases",0.660292898302586
"165",26,"death",-0.353062597405748
"166",27,"positivity",-0.28827123744796
"167",27,"cases",0.649517893571064
"168",27,"death",-0.346059027844281
"169",28,"positivity",-0.290136137673445
"170",28,"cases",0.636835294943666
"171",28,"death",-0.338863253739328
