"","shift","variable","rho"
"1",-28,"positivity",0.500204726328079
"2",-28,"cases",-0.670140541393042
"3",-28,"death",-0.560798638319587
"4",-27,"positivity",0.508365634182673
"5",-27,"cases",-0.654447978443492
"6",-27,"death",-0.561803671885134
"7",-26,"positivity",0.520678451145447
"8",-26,"cases",-0.645687381776292
"9",-26,"death",-0.564785098852364
"10",-25,"positivity",0.529273586035367
"11",-25,"cases",-0.646267825221878
"12",-25,"death",-0.57398726081548
"13",-24,"positivity",0.532548045243075
"14",-24,"cases",-0.649014981694796
"15",-24,"death",-0.581141382594271
"16",-23,"positivity",0.53661491928696
"17",-23,"cases",-0.652009612321344
"18",-23,"death",-0.586454589695437
"19",-22,"positivity",0.542293185164099
"20",-22,"cases",-0.654035295933123
"21",-22,"death",-0.589872553829483
"22",-21,"positivity",0.539810597589054
"23",-21,"cases",-0.652483807337746
"24",-21,"death",-0.588069293918154
"25",-20,"positivity",0.528713528298014
"26",-20,"cases",-0.64412993446766
"27",-20,"death",-0.579051480248528
"28",-19,"positivity",0.509290271013493
"29",-19,"cases",-0.626851556634175
"30",-19,"death",-0.561035242636698
"31",-18,"positivity",0.49518318262375
"32",-18,"cases",-0.607235597584548
"33",-18,"death",-0.542203018084006
"34",-17,"positivity",0.479398202277815
"35",-17,"cases",-0.585228495307944
"36",-17,"death",-0.520647023691739
"37",-16,"positivity",0.478199439338201
"38",-16,"cases",-0.574884259922257
"39",-16,"death",-0.508248045190911
"40",-15,"positivity",0.475773749381731
"41",-15,"cases",-0.551056455901946
"42",-15,"death",-0.482555244470112
"43",-14,"positivity",0.4690526865572
"44",-14,"cases",-0.524633603918097
"45",-14,"death",-0.452584073790248
"46",-13,"positivity",0.472457208824125
"47",-13,"cases",-0.494016253038575
"48",-13,"death",-0.417457937765008
"49",-12,"positivity",0.496434425338312
"50",-12,"cases",-0.478654844447766
"51",-12,"death",-0.395106718305063
"52",-11,"positivity",0.52715404756976
"53",-11,"cases",-0.46210773693703
"54",-11,"death",-0.372379326299824
"55",-10,"positivity",0.557598790747989
"56",-10,"cases",-0.442842447937029
"57",-10,"death",-0.347256569691468
"58",-9,"positivity",0.59112260363798
"59",-9,"cases",-0.42238088925624
"60",-9,"death",-0.31986055100765
"61",-8,"positivity",0.626515896996453
"62",-8,"cases",-0.399892886233354
"63",-8,"death",-0.28771793978102
"64",-7,"positivity",0.66195439711927
"65",-7,"cases",-0.374908949501548
"66",-7,"death",-0.251054535248048
"67",-6,"positivity",0.692014966757749
"68",-6,"cases",-0.348760383652069
"69",-6,"death",-0.211821601521587
"70",-5,"positivity",0.718850543541044
"71",-5,"cases",-0.323562982416448
"72",-5,"death",-0.17297820647511
"73",-4,"positivity",0.744213541973115
"74",-4,"cases",-0.299147308123723
"75",-4,"death",-0.129622888516347
"76",-3,"positivity",0.766154154814233
"77",-3,"cases",-0.275707179323895
"78",-3,"death",-0.0827250613252662
"79",-2,"positivity",0.786070115392515
"80",-2,"cases",-0.253476848088311
"81",-2,"death",-0.0325733492948018
"82",-1,"positivity",0.801456265815128
"83",-1,"cases",-0.232370817716436
"84",-1,"death",0.0231841385895255
"85",0,"positivity",0.813412457962599
"86",0,"cases",-0.212329000081647
"87",0,"death",0.0823696683898504
"88",1,"positivity",0.822698325648113
"89",1,"cases",-0.195681434900969
"90",1,"death",0.14379728392832
"91",2,"positivity",0.831025517693203
"92",2,"cases",-0.178353938663542
"93",2,"death",0.21168568173159
"94",3,"positivity",0.832080485419748
"95",3,"cases",-0.16292358341196
"96",3,"death",0.279527742268225
"97",4,"positivity",0.828284894163989
"98",4,"cases",-0.150323832105111
"99",4,"death",0.350045745468389
"100",5,"positivity",0.822445729583709
"101",5,"cases",-0.141334065900864
"102",5,"death",0.416533744944974
"103",6,"positivity",0.817977703350616
"104",6,"cases",-0.135266401358453
"105",6,"death",0.481099393614962
"106",7,"positivity",0.80890523748431
"107",7,"cases",-0.134341032920957
"108",7,"death",0.543968264719845
"109",8,"positivity",0.798051343200541
"110",8,"cases",-0.134378538844121
"111",8,"death",0.604859238750935
"112",9,"positivity",0.783177737390007
"113",9,"cases",-0.137862916789691
"114",9,"death",0.657182252294013
"115",10,"positivity",0.772781684613282
"116",10,"cases",-0.143495782912503
"117",10,"death",0.70396420385399
"118",11,"positivity",0.764765734598946
"119",11,"cases",-0.152171320769073
"120",11,"death",0.743307024218675
