"","shift","variable","rho"
"1",-28,"positivity",-0.215478027293894
"2",-28,"cases",0.594625188854584
"3",-28,"death",-0.308086445678187
"4",-27,"positivity",-0.189803320577259
"5",-27,"cases",0.592871949440665
"6",-27,"death",-0.311425575795904
"7",-26,"positivity",-0.168818558751666
"8",-26,"cases",0.589969529227066
"9",-26,"death",-0.312371363682204
"10",-25,"positivity",-0.147260440756014
"11",-25,"cases",0.58782681389874
"12",-25,"death",-0.310433971388391
"13",-24,"positivity",-0.13161123522351
"14",-24,"cases",0.588590927631066
"15",-24,"death",-0.306651298890206
"16",-23,"positivity",-0.119678790497698
"17",-23,"cases",0.585528306128729
"18",-23,"death",-0.305181763936607
"19",-22,"positivity",-0.104230672622813
"20",-22,"cases",0.576681260006853
"21",-22,"death",-0.305553907473218
"22",-21,"positivity",-0.0966775302267548
"23",-21,"cases",0.573982424368314
"24",-21,"death",-0.301208837873171
"25",-20,"positivity",-0.0943666545461169
"26",-20,"cases",0.574142914725505
"27",-20,"death",-0.288413222278828
"28",-19,"positivity",-0.0909333939647886
"29",-19,"cases",0.57514694276444
"30",-19,"death",-0.274657489734474
"31",-18,"positivity",-0.0948112606256271
"32",-18,"cases",0.574231699817522
"33",-18,"death",-0.261157095821215
"34",-17,"positivity",-0.0972063004440432
"35",-17,"cases",0.575733126324117
"36",-17,"death",-0.254974291802907
"37",-16,"positivity",-0.096442897441912
"38",-16,"cases",0.577330000690025
"39",-16,"death",-0.245568523223222
"40",-15,"positivity",-0.0957368790843589
"41",-15,"cases",0.577887983234211
"42",-15,"death",-0.225848783543374
"43",-14,"positivity",-0.0987349313425958
"44",-14,"cases",0.580969179180506
"45",-14,"death",-0.20260493941073
"46",-13,"positivity",-0.105673454221442
"47",-13,"cases",0.584956098268336
"48",-13,"death",-0.178516118228585
"49",-12,"positivity",-0.111141905942418
"50",-12,"cases",0.588782863272574
"51",-12,"death",-0.153040879888761
"52",-11,"positivity",-0.114673617786365
"53",-11,"cases",0.595424302708831
"54",-11,"death",-0.126206969028766
"55",-10,"positivity",-0.103424941897137
"56",-10,"cases",0.596714324279749
"57",-10,"death",-0.112153748261752
"58",-9,"positivity",-0.0879381472719129
"59",-9,"cases",0.597707613675186
"60",-9,"death",-0.101279519760378
"61",-8,"positivity",-0.0805705406693952
"62",-8,"cases",0.597548568909962
"63",-8,"death",-0.0929314880839961
"64",-7,"positivity",-0.069115081020343
"65",-7,"cases",0.595535012360599
"66",-7,"death",-0.0849969799714638
"67",-6,"positivity",-0.0571056542899554
"68",-6,"cases",0.591530135352086
"69",-6,"death",-0.076292998057731
"70",-5,"positivity",-0.0462963613489622
"71",-5,"cases",0.587883834486353
"72",-5,"death",-0.0644569516468145
"73",-4,"positivity",-0.0375892852308408
"74",-4,"cases",0.579596171083289
"75",-4,"death",-0.0576292965907072
"76",-3,"positivity",-0.0319387078888284
"77",-3,"cases",0.569862973074188
"78",-3,"death",-0.0498559651676261
"79",-2,"positivity",-0.027044668870411
"80",-2,"cases",0.561372826102304
"81",-2,"death",-0.0393220744849719
"82",-1,"positivity",-0.0191213593435459
"83",-1,"cases",0.550737692051958
"84",-1,"death",-0.0279729509531384
"85",0,"positivity",-0.013910138272022
"86",0,"cases",0.538319013366936
"87",0,"death",-0.0173594588380386
"88",1,"positivity",-0.0128119766840658
"89",1,"cases",0.525502363790827
"90",1,"death",-0.00683363820902373
"91",2,"positivity",-0.0126682117592528
"92",2,"cases",0.510249171309402
"93",2,"death",0.00306897037492422
"94",3,"positivity",-0.0135474228483547
"95",3,"cases",0.497047449588809
"96",3,"death",0.0180865172318314
"97",4,"positivity",-0.0141477842224482
"98",4,"cases",0.482922111633275
"99",4,"death",0.033044730391016
"100",5,"positivity",-0.0176655191873781
"101",5,"cases",0.464221809796223
"102",5,"death",0.0486751102609401
"103",6,"positivity",-0.021321419010113
"104",6,"cases",0.44301689752762
"105",6,"death",0.0592872601921501
"106",7,"positivity",-0.0266077811817871
"107",7,"cases",0.420074810715475
"108",7,"death",0.0721302866719158
"109",8,"positivity",-0.0316528340479524
"110",8,"cases",0.394840160920555
"111",8,"death",0.0864513161537973
"112",9,"positivity",-0.0356482131628806
"113",9,"cases",0.368534044103085
"114",9,"death",0.0995320119412713
"115",10,"positivity",-0.0385963096834592
"116",10,"cases",0.342279855129752
"117",10,"death",0.10938684816889
"118",11,"positivity",-0.0417256795385473
"119",11,"cases",0.315370703717426
"120",11,"death",0.115611390601417
"121",12,"positivity",-0.0429712200696272
"122",12,"cases",0.287645005002945
"123",12,"death",0.119142497437253
"124",13,"positivity",-0.051725057889026
"125",13,"cases",0.260774805687047
"126",13,"death",0.122221119871759
"127",14,"positivity",-0.0617325200318276
"128",14,"cases",0.232858512666309
"129",14,"death",0.120508333428631
"130",15,"positivity",-0.0722736349098423
"131",15,"cases",0.203159471814405
"132",15,"death",0.114091765979478
"133",16,"positivity",-0.0809456226309151
"134",16,"cases",0.172740911611655
"135",16,"death",0.102393050603082
"136",17,"positivity",-0.090364461783546
"137",17,"cases",0.138897908230828
"138",17,"death",0.0904712020252671
"139",18,"positivity",-0.102807284905581
"140",18,"cases",0.110052095555635
"141",18,"death",0.0793746887252909
"142",19,"positivity",-0.109175805039267
"143",19,"cases",0.0792243357776217
"144",19,"death",0.0715180519283204
"145",20,"positivity",-0.119288788274166
"146",20,"cases",0.0512993589700156
"147",20,"death",0.0593791574642337
"148",21,"positivity",-0.130688463586266
"149",21,"cases",0.024701223063374
"150",21,"death",0.0463284307144245
"151",22,"positivity",-0.142868508063223
"152",22,"cases",0.00402812257727597
"153",22,"death",0.0293452651922659
"154",23,"positivity",-0.156849577043374
"155",23,"cases",-0.0176597154924971
"156",23,"death",0.0180174032183301
"157",24,"positivity",-0.171623869159244
"158",24,"cases",-0.0311801247712723
"159",24,"death",0.00311228726290163
"160",25,"positivity",-0.182357455312634
"161",25,"cases",-0.0473652582819772
"162",25,"death",-0.00899494325880991
"163",26,"positivity",-0.196652617644447
"164",26,"cases",-0.0611569886446172
"165",26,"death",-0.0223676234994639
"166",27,"positivity",-0.211065227661399
"167",27,"cases",-0.0714496105752648
"168",27,"death",-0.0363122003363267
"169",28,"positivity",-0.225035698593127
"170",28,"cases",-0.0818604424291572
"171",28,"death",-0.0502459085254914
