"","shift","variable","rho"
"1",-28,"positivity",0.629335875289154
"2",-28,"cases",-0.670077375023787
"3",-28,"death",-0.51600576066631
"4",-27,"positivity",0.631450848420912
"5",-27,"cases",-0.670098746781756
"6",-27,"death",-0.512657378534816
"7",-26,"positivity",0.633428559014082
"8",-26,"cases",-0.669889835149915
"9",-26,"death",-0.50931873412871
"10",-25,"positivity",0.63550970834163
"11",-25,"cases",-0.669925070224815
"12",-25,"death",-0.506585887439485
"13",-24,"positivity",0.637613488309467
"14",-24,"cases",-0.669792576960542
"15",-24,"death",-0.503866483725264
"16",-23,"positivity",0.639654271127939
"17",-23,"cases",-0.669480026825611
"18",-23,"death",-0.500724978839883
"19",-22,"positivity",0.641701574892247
"20",-22,"cases",-0.669099493970291
"21",-22,"death",-0.497495305077029
"22",-21,"positivity",0.643725734341813
"23",-21,"cases",-0.668661064034435
"24",-21,"death",-0.494016493374587
"25",-20,"positivity",0.650137534773209
"26",-20,"cases",-0.662974751863712
"27",-20,"death",-0.492824347115608
"28",-19,"positivity",0.656543582490353
"29",-19,"cases",-0.657352248488346
"30",-19,"death",-0.490157469251038
"31",-18,"positivity",0.663739254065389
"32",-18,"cases",-0.651698142984075
"33",-18,"death",-0.486970966154464
"34",-17,"positivity",0.67022579652279
"35",-17,"cases",-0.645635519916622
"36",-17,"death",-0.480113242345628
"37",-16,"positivity",0.676204378604286
"38",-16,"cases",-0.638530783413974
"39",-16,"death",-0.471251510918464
"40",-15,"positivity",0.683878413589956
"41",-15,"cases",-0.631137278815308
"42",-15,"death",-0.461013016218009
"43",-14,"positivity",0.690622944178527
"44",-14,"cases",-0.621590007569114
"45",-14,"death",-0.446698026648109
"46",-13,"positivity",0.693979568598202
"47",-13,"cases",-0.608018393762012
"48",-13,"death",-0.427269587042829
"49",-12,"positivity",0.693526742928024
"50",-12,"cases",-0.588312613141376
"51",-12,"death",-0.400257278968478
"52",-11,"positivity",0.68755971703588
"53",-11,"cases",-0.562131341364456
"54",-11,"death",-0.366206122725152
"55",-10,"positivity",0.675346203108247
"56",-10,"cases",-0.526512609082654
"57",-10,"death",-0.322214552371625
"58",-9,"positivity",0.665135925212346
"59",-9,"cases",-0.491187938439315
"60",-9,"death",-0.277318586377652
"61",-8,"positivity",0.659022343017909
"62",-8,"cases",-0.456073674535648
"63",-8,"death",-0.232444712309433
"64",-7,"positivity",0.652764798089921
"65",-7,"cases",-0.418954845669454
"66",-7,"death",-0.185579658480208
"67",-6,"positivity",0.647571981905061
"68",-6,"cases",-0.380423519886811
"69",-6,"death",-0.136035565034439
"70",-5,"positivity",0.643718145022659
"71",-5,"cases",-0.341842426778947
"72",-5,"death",-0.0856339884931399
"73",-4,"positivity",0.641708960597986
"74",-4,"cases",-0.30371946662241
"75",-4,"death",-0.0340637373076123
"76",-3,"positivity",0.664402321026116
"77",-3,"cases",-0.285655989481391
"78",-3,"death",0.00275069065001451
"79",-2,"positivity",0.669027622065087
"80",-2,"cases",-0.248837149693385
"81",-2,"death",0.0544601987646715
