"","shift","variable","rho"
"1",-28,"positivity",0.337996802444122
"2",-28,"cases",-0.612244832519271
"3",-28,"death",-0.340988125601173
"4",-27,"positivity",0.355632797029992
"5",-27,"cases",-0.596188809343624
"6",-27,"death",-0.372339508483594
"7",-26,"positivity",0.374206974047335
"8",-26,"cases",-0.598600318524734
"9",-26,"death",-0.404028034641212
"10",-25,"positivity",0.38248224819442
"11",-25,"cases",-0.608408020810043
"12",-25,"death",-0.432600626851413
"13",-24,"positivity",0.387792568521768
"14",-24,"cases",-0.61738394230427
"15",-24,"death",-0.457949769088459
"16",-23,"positivity",0.372422419003441
"17",-23,"cases",-0.616527050900079
"18",-23,"death",-0.46231253640225
"19",-22,"positivity",0.369470410265393
"20",-22,"cases",-0.625194039522177
"21",-22,"death",-0.485015869376663
"22",-21,"positivity",0.383584333675314
"23",-21,"cases",-0.635293071903882
"24",-21,"death",-0.502094713695899
"25",-20,"positivity",0.378312798253541
"26",-20,"cases",-0.64551415173202
"27",-20,"death",-0.522054588369672
"28",-19,"positivity",0.369745377672359
"29",-19,"cases",-0.650514639874791
"30",-19,"death",-0.532975350641404
"31",-18,"positivity",0.359195956457357
"32",-18,"cases",-0.651865725737497
"33",-18,"death",-0.542474974591719
"34",-17,"positivity",0.34475380600876
"35",-17,"cases",-0.648979770589415
"36",-17,"death",-0.5441360992451
"37",-16,"positivity",0.328495581022284
"38",-16,"cases",-0.644989581482034
"39",-16,"death",-0.548714957764391
"40",-15,"positivity",0.323911329571321
"41",-15,"cases",-0.642189080939233
"42",-15,"death",-0.551973828181198
"43",-14,"positivity",0.318176182179901
"44",-14,"cases",-0.629097304661324
"45",-14,"death",-0.550118176866838
"46",-13,"positivity",0.31988330948779
"47",-13,"cases",-0.62049113108551
"48",-13,"death",-0.547071305593093
"49",-12,"positivity",0.330714382349998
"50",-12,"cases",-0.610672144221323
"51",-12,"death",-0.544335070446944
"52",-11,"positivity",0.33901495916874
"53",-11,"cases",-0.598277406518334
"54",-11,"death",-0.539428980218724
"55",-10,"positivity",0.359806752428616
"56",-10,"cases",-0.584469064793683
"57",-10,"death",-0.533001738179923
"58",-9,"positivity",0.381316625482811
"59",-9,"cases",-0.568116527859788
"60",-9,"death",-0.521765929641355
"61",-8,"positivity",0.409037284294192
"62",-8,"cases",-0.548822201352239
"63",-8,"death",-0.509498571363448
"64",-7,"positivity",0.44388513187861
"65",-7,"cases",-0.527699206114104
"66",-7,"death",-0.493858176022311
"67",-6,"positivity",0.476873758131013
"68",-6,"cases",-0.504041887897506
"69",-6,"death",-0.472324669961193
"70",-5,"positivity",0.50566400947428
"71",-5,"cases",-0.480951380212333
"72",-5,"death",-0.449977292405364
"73",-4,"positivity",0.537089945874147
"74",-4,"cases",-0.454625555085891
"75",-4,"death",-0.422612341792723
"76",-3,"positivity",0.566250892921362
"77",-3,"cases",-0.426676216596927
"78",-3,"death",-0.39129538463549
"79",-2,"positivity",0.596865143427257
"80",-2,"cases",-0.399998657656568
"81",-2,"death",-0.355853778681664
"82",-1,"positivity",0.626401131308476
"83",-1,"cases",-0.372939600736702
"84",-1,"death",-0.312784330063496
