"","shift","variable","rho"
"1",-28,"positivity",-0.39049322317336
"2",-28,"cases",0.0957316495618291
"3",-28,"death",-0.331708373554483
"4",-27,"positivity",-0.230757133809988
"5",-27,"cases",0.0139401156532505
"6",-27,"death",-0.393755691836036
"7",-26,"positivity",-0.226246125390668
"8",-26,"cases",0.0296885899257553
"9",-26,"death",-0.403574293629719
"10",-25,"positivity",-0.262966433943494
"11",-25,"cases",0.0405725369332581
"12",-25,"death",-0.408243821822851
"13",-24,"positivity",-0.255453279530606
"14",-24,"cases",0.0512107512935164
"15",-24,"death",-0.417792285307522
"16",-23,"positivity",-0.252632659452594
"17",-23,"cases",0.0694808060125617
"18",-23,"death",-0.424596798564656
"19",-22,"positivity",-0.255755139408718
"20",-22,"cases",0.0900438950658072
"21",-22,"death",-0.433498663604732
"22",-21,"positivity",-0.263231066350369
"23",-21,"cases",0.111420462506642
"24",-21,"death",-0.447372589628416
"25",-20,"positivity",-0.26656093964346
"26",-20,"cases",0.128406059045074
"27",-20,"death",-0.467615584341965
"28",-19,"positivity",-0.268360374857752
"29",-19,"cases",0.149515379532824
"30",-19,"death",-0.47962804460326
"31",-18,"positivity",-0.270666192992145
"32",-18,"cases",0.174563860209423
"33",-18,"death",-0.497224402754728
"34",-17,"positivity",-0.285235832037631
"35",-17,"cases",0.196468236838616
"36",-17,"death",-0.51067653005879
"37",-16,"positivity",-0.291079315474983
"38",-16,"cases",0.213875554040049
"39",-16,"death",-0.53163007002262
"40",-15,"positivity",-0.282054085759459
"41",-15,"cases",0.230634753738661
"42",-15,"death",-0.544717908583677
"43",-14,"positivity",-0.268280552776565
"44",-14,"cases",0.2519307455622
"45",-14,"death",-0.554539797435924
"46",-13,"positivity",-0.233198027274011
"47",-13,"cases",0.279283035973593
"48",-13,"death",-0.56512082222467
"49",-12,"positivity",-0.216303446231571
"50",-12,"cases",0.298098954082621
"51",-12,"death",-0.567875249847033
"52",-11,"positivity",-0.195965381300777
"53",-11,"cases",0.318271004362726
"54",-11,"death",-0.573807733201219
"55",-10,"positivity",-0.152074734970171
"56",-10,"cases",0.343185181699846
"57",-10,"death",-0.585132485410695
"58",-9,"positivity",-0.117974948126283
"59",-9,"cases",0.374358900834298
"60",-9,"death",-0.585422195709654
"61",-8,"positivity",-0.0974993692585166
"62",-8,"cases",0.403371001188288
"63",-8,"death",-0.578651119876962
"64",-7,"positivity",-0.0769810734131088
"65",-7,"cases",0.432203333983892
"66",-7,"death",-0.575111019598622
"67",-6,"positivity",-0.067750844010934
"68",-6,"cases",0.467271926054433
"69",-6,"death",-0.563474949914774
"70",-5,"positivity",-0.0471072103497416
"71",-5,"cases",0.497702741212884
"72",-5,"death",-0.555592708467467
"73",-4,"positivity",-0.031892042689522
"74",-4,"cases",0.524370609004856
"75",-4,"death",-0.551329310320852
"76",-3,"positivity",-0.0237561888733273
"77",-3,"cases",0.548772087734978
"78",-3,"death",-0.533057756520816
"79",-2,"positivity",-0.00513402781438364
"80",-2,"cases",0.571506782094171
"81",-2,"death",-0.520239810715758
"82",-1,"positivity",0.0326115331878312
"83",-1,"cases",0.595308081851229
"84",-1,"death",-0.494246272116123
"85",0,"positivity",0.0609842307136959
"86",0,"cases",0.619879533675322
"87",0,"death",-0.441483014054126
"88",1,"positivity",0.082098034544072
"89",1,"cases",0.63345861123367
"90",1,"death",-0.421382061592228
"91",2,"positivity",0.106608770661912
"92",2,"cases",0.647322039426059
"93",2,"death",-0.393793496759696
"94",3,"positivity",0.108781844912326
"95",3,"cases",0.653009778611611
"96",3,"death",-0.343570062440267
"97",4,"positivity",0.122721510598026
"98",4,"cases",0.653850369747399
"99",4,"death",-0.304920520948102
"100",5,"positivity",0.140652061329791
"101",5,"cases",0.662352166967972
"102",5,"death",-0.243840421247818
"103",6,"positivity",0.141581462230204
"104",6,"cases",0.665348652080055
"105",6,"death",-0.17417568373906
"106",7,"positivity",0.146519022442167
"107",7,"cases",0.658627286930047
"108",7,"death",-0.143706730649927
"109",8,"positivity",0.163199783213736
"110",8,"cases",0.649519870132355
"111",8,"death",-0.0755655032353829
"112",9,"positivity",0.174495811854306
"113",9,"cases",0.634056766873744
"114",9,"death",-0.0310730920101924
"115",10,"positivity",0.201799899049478
"116",10,"cases",0.621474318067949
"117",10,"death",-0.0042511430547681
"118",11,"positivity",0.21291987691948
"119",11,"cases",0.600596954602424
"120",11,"death",0.0265220696184849
"121",12,"positivity",0.204106314964739
"122",12,"cases",0.566655230780666
"123",12,"death",0.0350368616205628
"124",13,"positivity",0.22176270680554
"125",13,"cases",0.538658945010305
"126",13,"death",0.0469875614727226
"127",14,"positivity",0.228597194257171
"128",14,"cases",0.518163864944837
"129",14,"death",0.08926209748531
"130",15,"positivity",0.23113366290241
"131",15,"cases",0.496300066887682
"132",15,"death",0.0964057450019003
"133",16,"positivity",0.248908243999477
"134",16,"cases",0.468373925609825
"135",16,"death",0.123935650046634
"136",17,"positivity",0.249230439231818
"137",17,"cases",0.442083014134906
"138",17,"death",0.125101099507214
"139",18,"positivity",0.265766222908355
"140",18,"cases",0.423068872678078
"141",18,"death",0.128678658397682
"142",19,"positivity",0.295619473907273
"143",19,"cases",0.409929994613238
"144",19,"death",0.168221897686185
"145",20,"positivity",0.285540399822268
"146",20,"cases",0.387217403999427
"147",20,"death",0.190362735630454
"148",21,"positivity",0.295059613690813
"149",21,"cases",0.371350035942163
"150",21,"death",0.19042035672854
"151",22,"positivity",0.309683190658609
"152",22,"cases",0.354126445582946
"153",22,"death",0.236568608413861
"154",23,"positivity",0.256875134538875
"155",23,"cases",0.348213854193749
"156",23,"death",0.196287616088038
"157",24,"positivity",0.260107404532916
"158",24,"cases",0.331276638305329
"159",24,"death",0.211666608788432
"160",25,"positivity",0.251465497887173
"161",25,"cases",0.311497503604519
"162",25,"death",0.243162091671711
"163",26,"positivity",0.216003971854907
"164",26,"cases",0.28571588978792
"165",26,"death",0.240736243075084
"166",27,"positivity",0.232771959587709
"167",27,"cases",0.272195540945956
"168",27,"death",0.246796432526471
"169",28,"positivity",0.231025686495107
"170",28,"cases",0.24685833089608
"171",28,"death",0.272167372477593
