"","shift","variable","rho"
"1",-28,"positivity",0.608110601835924
"2",-28,"cases",-0.80684189529776
"3",-28,"death",-0.353093887321348
"4",-27,"positivity",0.610644949424537
"5",-27,"cases",-0.787573957613029
"6",-27,"death",-0.366032987625449
"7",-26,"positivity",0.615093027239109
"8",-26,"cases",-0.769822029061789
"9",-26,"death",-0.376379631921442
"10",-25,"positivity",0.619936749628849
"11",-25,"cases",-0.758509474790561
"12",-25,"death",-0.387595103688458
"13",-24,"positivity",0.624418574857456
"14",-24,"cases",-0.751355194295467
"15",-24,"death",-0.39476584414907
"16",-23,"positivity",0.627755171640239
"17",-23,"cases",-0.745599626099525
"18",-23,"death",-0.400726497334458
"19",-22,"positivity",0.631366165598033
"20",-22,"cases",-0.740123005989822
"21",-22,"death",-0.405385028985593
"22",-21,"positivity",0.63302814519735
"23",-21,"cases",-0.735039410467472
"24",-21,"death",-0.405939390282932
"25",-20,"positivity",0.627124399272706
"26",-20,"cases",-0.72477971899446
"27",-20,"death",-0.397481846294282
"28",-19,"positivity",0.611942287468261
"29",-19,"cases",-0.706756790578451
"30",-19,"death",-0.380601450513395
"31",-18,"positivity",0.594656695150365
"32",-18,"cases",-0.685143022987669
"33",-18,"death",-0.356837228789541
"34",-17,"positivity",0.576130543942364
"35",-17,"cases",-0.658653547649982
"36",-17,"death",-0.329546861915703
"37",-16,"positivity",0.560057913688252
"38",-16,"cases",-0.631458469346766
"39",-16,"death",-0.299830607691864
"40",-15,"positivity",0.547536021074811
"41",-15,"cases",-0.604387011079685
"42",-15,"death",-0.270103353563774
"43",-14,"positivity",0.534891050912197
"44",-14,"cases",-0.573747966016003
"45",-14,"death",-0.237065375870813
"46",-13,"positivity",0.523654068159191
"47",-13,"cases",-0.538428400168511
"48",-13,"death",-0.200616420344067
"49",-12,"positivity",0.513147893272749
"50",-12,"cases",-0.499696014051661
"51",-12,"death",-0.160484387455206
"52",-11,"positivity",0.502662764604372
"53",-11,"cases",-0.458437588556053
"54",-11,"death",-0.118992037707645
"55",-10,"positivity",0.522907719332374
"56",-10,"cases",-0.442022955735742
"57",-10,"death",-0.0931247973273975
"58",-9,"positivity",0.523927688583419
"59",-9,"cases",-0.396486711060198
"60",-9,"death",-0.0469162300811615
"61",-8,"positivity",0.513682051855565
"62",-8,"cases",-0.351055550506151
"63",-8,"death",-0.000270394050554667
"64",-7,"positivity",0.514136852267331
"65",-7,"cases",-0.305440222134982
"66",-7,"death",0.047241332165417
"67",-6,"positivity",0.539260403626425
"68",-6,"cases",-0.284836228124311
"69",-6,"death",0.0797812954422588
"70",-5,"positivity",0.57218017880546
"71",-5,"cases",-0.263597942860204
"72",-5,"death",0.11295995089863
"73",-4,"positivity",0.59476254394613
"74",-4,"cases",-0.24317628626239
"75",-4,"death",0.147532039596758
"76",-3,"positivity",0.618254862733658
"77",-3,"cases",-0.223286087289526
"78",-3,"death",0.183827926680386
"79",-2,"positivity",0.638933802265143
"80",-2,"cases",-0.204023739863772
"81",-2,"death",0.22176987574015
"82",-1,"positivity",0.656251349356523
"83",-1,"cases",-0.185853799493976
"84",-1,"death",0.260988565464614
"85",0,"positivity",0.66823657074911
"86",0,"cases",-0.16948698223599
"87",0,"death",0.301462534577282
"88",1,"positivity",0.67651216521182
"89",1,"cases",-0.154844837734136
"90",1,"death",0.344985715775879
"91",2,"positivity",0.683056929736319
"92",2,"cases",-0.142576517527897
"93",2,"death",0.390789840763688
"94",3,"positivity",0.683387178391795
"95",3,"cases",-0.132604975644112
"96",3,"death",0.437341288291081
"97",4,"positivity",0.679274043515021
"98",4,"cases",-0.125611720958267
"99",4,"death",0.484487303993595
"100",5,"positivity",0.670102412773606
"101",5,"cases",-0.1219762901889
"102",5,"death",0.531248657072358
"103",6,"positivity",0.65565488743198
"104",6,"cases",-0.12088848287792
"105",6,"death",0.577377498059651
"106",7,"positivity",0.637929548716484
"107",7,"cases",-0.122516507164734
"108",7,"death",0.622407168574595
"109",8,"positivity",0.619356384091826
"110",8,"cases",-0.12571415590838
"111",8,"death",0.663967968389238
"112",9,"positivity",0.596163950875443
"113",9,"cases",-0.130720395511697
"114",9,"death",0.702238505785073
"115",10,"positivity",0.572887101966093
"116",10,"cases",-0.138195623135139
"117",10,"death",0.736473170902432
"118",11,"positivity",0.548864900274775
"119",11,"cases",-0.149135188763359
"120",11,"death",0.763875440729365
"121",12,"positivity",0.527808391792027
"122",12,"cases",-0.161490810062954
"123",12,"death",0.785480064838652
"124",13,"positivity",0.502786284545771
"125",13,"cases",-0.173492124761249
"126",13,"death",0.800221401120761
"127",14,"positivity",0.477825939807379
"128",14,"cases",-0.188339774936724
"129",14,"death",0.807972072128246
"130",15,"positivity",0.44999176224675
"131",15,"cases",-0.205193971210931
"132",15,"death",0.807475522815198
"133",16,"positivity",0.424642359011381
"134",16,"cases",-0.221740206025304
"135",16,"death",0.799216963276303
"136",17,"positivity",0.399253127380866
"137",17,"cases",-0.239195604182081
"138",17,"death",0.782842167745763
"139",18,"positivity",0.375857015669212
"140",18,"cases",-0.257020126864902
"141",18,"death",0.761414218608521
"142",19,"positivity",0.351022854407906
"143",19,"cases",-0.273778125592151
"144",19,"death",0.734984056878954
"145",20,"positivity",0.319374532936805
"146",20,"cases",-0.287233404429744
"147",20,"death",0.7043198414378
"148",21,"positivity",0.290234773765994
"149",21,"cases",-0.300723549799825
"150",21,"death",0.668392347517474
"151",22,"positivity",0.262773591504209
"152",22,"cases",-0.31226749775256
"153",22,"death",0.628112360495741
"154",23,"positivity",0.23601289932353
"155",23,"cases",-0.322995668644965
"156",23,"death",0.587451749842783
"157",24,"positivity",0.205595892199202
"158",24,"cases",-0.330484728874423
"159",24,"death",0.548173283738389
"160",25,"positivity",0.178948400514679
"161",25,"cases",-0.336424593941142
"162",25,"death",0.512531907281702
"163",26,"positivity",0.151129090123177
"164",26,"cases",-0.342584274812304
"165",26,"death",0.477289488996384
"166",27,"positivity",0.121596366455529
"167",27,"cases",-0.348712467734967
"168",27,"death",0.441452680209941
"169",28,"positivity",0.0893593710564112
"170",28,"cases",-0.352987168025832
"171",28,"death",0.410392379616331
