"","shift","variable","rho"
"1",-28,"positivity",0.32423640956219
"2",-28,"cases",-0.817393221033155
"3",-28,"death",-0.0183870546522056
"4",-27,"positivity",0.3276042495948
"5",-27,"cases",-0.805871563932418
"6",-27,"death",-0.0303906488098565
"7",-26,"positivity",0.351002938744655
"8",-26,"cases",-0.78862839415444
"9",-26,"death",-0.0382514591579738
"10",-25,"positivity",0.357127159263135
"11",-25,"cases",-0.776963774643743
"12",-25,"death",-0.0217475708437329
"13",-24,"positivity",0.361467639458973
"14",-24,"cases",-0.769219334953128
"15",-24,"death",-0.0376446941161367
"16",-23,"positivity",0.364024922305263
"17",-23,"cases",-0.758650468180684
"18",-23,"death",-0.0402473074649078
"19",-22,"positivity",0.382742865785552
"20",-22,"cases",-0.7296640012973
"21",-22,"death",-0.0386326266699519
"22",-21,"positivity",0.385347006437509
"23",-21,"cases",-0.713857207707353
"24",-21,"death",-0.0434873683349422
"25",-20,"positivity",0.391890917028928
"26",-20,"cases",-0.688232461785546
"27",-20,"death",-0.0465463580000168
"28",-19,"positivity",0.38357700320478
"29",-19,"cases",-0.680432760367614
"30",-19,"death",-0.049720589752892
"31",-18,"positivity",0.39352570934918
"32",-18,"cases",-0.653868059077304
"33",-18,"death",-0.074658095338548
"34",-17,"positivity",0.397189830224859
"35",-17,"cases",-0.633031682967186
"36",-17,"death",-0.0602113099010518
"37",-16,"positivity",0.407068486644083
"38",-16,"cases",-0.602676710476308
"39",-16,"death",-0.0261396266833019
"40",-15,"positivity",0.403435427528075
"41",-15,"cases",-0.595673026526143
"42",-15,"death",0.0149072465797439
"43",-14,"positivity",0.418147677439237
"44",-14,"cases",-0.539579975410587
"45",-14,"death",0.0186812467609663
"46",-13,"positivity",0.431580923946357
"47",-13,"cases",-0.512780959245037
"48",-13,"death",0.060902648513714
"49",-12,"positivity",0.457185934484658
"50",-12,"cases",-0.473156799400494
"51",-12,"death",0.0937769903611631
"52",-11,"positivity",0.465616511781186
"53",-11,"cases",-0.432926374057517
"54",-11,"death",0.130041913561177
"55",-10,"positivity",0.478587259269671
"56",-10,"cases",-0.379421082427395
"57",-10,"death",0.150683639051462
"58",-9,"positivity",0.484127171395422
"59",-9,"cases",-0.34083611372406
"60",-9,"death",0.13797578856977
"61",-8,"positivity",0.497554370632746
"62",-8,"cases",-0.250779727501617
"63",-8,"death",0.196457407343382
"64",-7,"positivity",0.497737803413182
"65",-7,"cases",-0.210681050537367
"66",-7,"death",0.221478840745163
"67",-6,"positivity",0.498290611994687
"68",-6,"cases",-0.170911302073704
"69",-6,"death",0.228128532281822
"70",-5,"positivity",0.489446375016314
"71",-5,"cases",-0.134533634500989
"72",-5,"death",0.236726266337914
"73",-4,"positivity",0.487358448569826
"74",-4,"cases",-0.101160531983144
"75",-4,"death",0.243066034479815
"76",-3,"positivity",0.487125373579214
"77",-3,"cases",-0.0757870354314748
"78",-3,"death",0.258999666441976
"79",-2,"positivity",0.465615749800117
"80",-2,"cases",-0.0676352437035064
"81",-2,"death",0.272079659962222
"82",-1,"positivity",0.457211000687756
"83",-1,"cases",-0.0783824769092333
"84",-1,"death",0.239241014595953
"85",0,"positivity",0.46135287128227
"86",0,"cases",-0.0665990601817585
"87",0,"death",0.257357595491643
"88",1,"positivity",0.458789990461243
"89",1,"cases",-0.0670358146003196
"90",1,"death",0.275754573654903
"91",2,"positivity",0.457340825426205
"92",2,"cases",-0.0584968109014158
"93",2,"death",0.277519380887272
"94",3,"positivity",0.470452255312684
"95",3,"cases",-0.0531794376690805
"96",3,"death",0.318666289162736
"97",4,"positivity",0.474281203033327
"98",4,"cases",-0.0410427964571841
"99",4,"death",0.319824445682411
"100",5,"positivity",0.51137355405723
"101",5,"cases",-0.00887727761885163
"102",5,"death",0.371424769103641
"103",6,"positivity",0.516325116294848
"104",6,"cases",-0.0102491959868026
"105",6,"death",0.377658045067764
"106",7,"positivity",0.493099135029524
"107",7,"cases",-0.0151906931741023
"108",7,"death",0.380821962695547
"109",8,"positivity",0.521505663192842
"110",8,"cases",0.0120314518895883
"111",8,"death",0.400432284932206
"112",9,"positivity",0.540294565229289
"113",9,"cases",0.011079046702785
"114",9,"death",0.404396164806393
"115",10,"positivity",0.543149377157246
"116",10,"cases",0.0281634996875281
"117",10,"death",0.377488467981552
"118",11,"positivity",0.571468729618178
"119",11,"cases",0.0642632624262935
"120",11,"death",0.382770285034906
"121",12,"positivity",0.596363076715538
"122",12,"cases",0.0671928676076013
"123",12,"death",0.398183186946927
"124",13,"positivity",0.629013725229672
"125",13,"cases",0.0952349048430819
"126",13,"death",0.410094931150127
"127",14,"positivity",0.654626092250787
"128",14,"cases",0.101204840495419
"129",14,"death",0.417418109267694
"130",15,"positivity",0.619213035600113
"131",15,"cases",0.118087002321256
"132",15,"death",0.356866791435994
"133",16,"positivity",0.630415943325086
"134",16,"cases",0.136918995049548
"135",16,"death",0.412873690443751
"136",17,"positivity",0.635983300826086
"137",17,"cases",0.132698139701822
"138",17,"death",0.418650731311274
"139",18,"positivity",0.626826370066779
"140",18,"cases",0.109364084900512
"141",18,"death",0.439506581238322
"142",19,"positivity",0.639228664042807
"143",19,"cases",0.107086371046914
"144",19,"death",0.446335747452472
"145",20,"positivity",0.585883852761387
"146",20,"cases",0.0762350998816488
"147",20,"death",0.446685638130407
"148",21,"positivity",0.598436672215355
"149",21,"cases",0.0497172460836582
"150",21,"death",0.471039605962777
"151",22,"positivity",0.572245503538709
"152",22,"cases",0.022663448456197
"153",22,"death",0.500178656967485
"154",23,"positivity",0.561273095277479
"155",23,"cases",0.0147516597676162
"156",23,"death",0.521204864338351
"157",24,"positivity",0.568023275774259
"158",24,"cases",-0.00551633283647295
"159",24,"death",0.571128396142647
"160",25,"positivity",0.542662779115796
"161",25,"cases",-0.0431354018342758
"162",25,"death",0.614473753063151
"163",26,"positivity",0.518065424367638
"164",26,"cases",-0.0612742997866923
"165",26,"death",0.619038455567488
"166",27,"positivity",0.532399716173733
"167",27,"cases",-0.0811078282344259
"168",27,"death",0.6206442596772
"169",28,"positivity",0.537848791345038
"170",28,"cases",-0.0742833757010275
"171",28,"death",0.628925716262653
