"","shift","variable","rho"
"1",-28,"positivity",-0.0953142918711839
"2",-28,"cases",-0.275195025901675
"3",-28,"death",0.136306725600192
"4",-27,"positivity",-0.086121567780954
"5",-27,"cases",-0.272360912149536
"6",-27,"death",0.100727493334084
"7",-26,"positivity",-0.0767856361668802
"8",-26,"cases",-0.270952101191492
"9",-26,"death",0.0618480358692798
"10",-25,"positivity",-0.0710256378567918
"11",-25,"cases",-0.263323321709079
"12",-25,"death",0.0296611436419191
"13",-24,"positivity",-0.0704007928268788
"14",-24,"cases",-0.257058200897784
"15",-24,"death",0.000377982299131695
"16",-23,"positivity",-0.0697814415029357
"17",-23,"cases",-0.249574236673338
"18",-23,"death",-0.0296173507696819
"19",-22,"positivity",-0.0747613724505893
"20",-22,"cases",-0.239322504346666
"21",-22,"death",-0.0544698089604909
"22",-21,"positivity",-0.0893852806494606
"23",-21,"cases",-0.216027851231322
"24",-21,"death",-0.0649331758003176
"25",-20,"positivity",-0.107330152884804
"26",-20,"cases",-0.190832155970845
"27",-20,"death",-0.0744316621323207
"28",-19,"positivity",-0.130176516539765
"29",-19,"cases",-0.157631832624653
"30",-19,"death",-0.0728506814465001
"31",-18,"positivity",-0.152935698721283
"32",-18,"cases",-0.125353075582089
"33",-18,"death",-0.0722848777008262
"34",-17,"positivity",-0.158777326638284
"35",-17,"cases",-0.111233379413425
"36",-17,"death",-0.0847821981291918
"37",-16,"positivity",-0.176706040561245
"38",-16,"cases",-0.0721233799850215
"39",-16,"death",-0.072725731013654
"40",-15,"positivity",-0.200155243661632
"41",-15,"cases",-0.0351157286758131
"42",-15,"death",-0.0592431803705051
"43",-14,"positivity",-0.214786901471973
"44",-14,"cases",0.00274823683316044
"45",-14,"death",-0.0449333288350667
"46",-13,"positivity",-0.230136658542014
"47",-13,"cases",0.0428688631226916
"48",-13,"death",-0.0240399642371493
"49",-12,"positivity",-0.242752727121889
"50",-12,"cases",0.0817496755348196
"51",-12,"death",-0.0054848946930072
"52",-11,"positivity",-0.253724555275415
"53",-11,"cases",0.121228314366911
"54",-11,"death",0.016054591270751
"55",-10,"positivity",-0.239032486499541
"56",-10,"cases",0.138374229922835
"57",-10,"death",0.01387182666766
"58",-9,"positivity",-0.21674315413247
"59",-9,"cases",0.153306332832134
"60",-9,"death",0.00927724431439932
"61",-8,"positivity",-0.197284703683605
"62",-8,"cases",0.170461769766151
"63",-8,"death",0.00658835058514171
"64",-7,"positivity",-0.176491743453713
"65",-7,"cases",0.186931134909291
"66",-7,"death",0.00564753404289838
"67",-6,"positivity",-0.155357522120011
"68",-6,"cases",0.205091558987278
"69",-6,"death",0.00393634480180235
"70",-5,"positivity",-0.132991783452992
"71",-5,"cases",0.222242059902239
"72",-5,"death",0.00464174930987547
"73",-4,"positivity",-0.116611686654946
"74",-4,"cases",0.238734732376248
"75",-4,"death",0.00418171599806569
"76",-3,"positivity",-0.102290465096046
"77",-3,"cases",0.254975376942415
"78",-3,"death",0.00485759584838126
"79",-2,"positivity",-0.0888360072837703
"80",-2,"cases",0.273907325343894
"81",-2,"death",0.00955326900824273
"82",-1,"positivity",-0.0805544126058051
"83",-1,"cases",0.290173754494076
"84",-1,"death",0.0147302971426222
"85",0,"positivity",-0.0736859919690263
"86",0,"cases",0.305479283430448
"87",0,"death",0.0196522676151967
"88",1,"positivity",-0.0700220471985737
"89",1,"cases",0.316906375133418
"90",1,"death",0.0248930338473153
"91",2,"positivity",-0.0729097691591761
"92",2,"cases",0.328774481879563
"93",2,"death",0.0286441239080788
"94",3,"positivity",-0.07650331388853
"95",3,"cases",0.33626854919926
"96",3,"death",0.0323162029835437
"97",4,"positivity",-0.081349224525167
"98",4,"cases",0.343324917736491
"99",4,"death",0.0374030952757332
"100",5,"positivity",-0.0863647004365234
"101",5,"cases",0.34619230989017
"102",5,"death",0.0413139451330531
"103",6,"positivity",-0.0941860167534329
"104",6,"cases",0.347227158402731
"105",6,"death",0.0447158753667605
"106",7,"positivity",-0.103728560191356
"107",7,"cases",0.346029300228752
"108",7,"death",0.0486887470802966
"109",8,"positivity",-0.111205944373245
"110",8,"cases",0.343837107301172
"111",8,"death",0.052848609913222
"112",9,"positivity",-0.115031804881267
"113",9,"cases",0.337345633504871
"114",9,"death",0.0596288267268538
"115",10,"positivity",-0.118437293146779
"116",10,"cases",0.331083180144812
"117",10,"death",0.0642464793428877
"118",11,"positivity",-0.122976311284794
"119",11,"cases",0.320259676187231
"120",11,"death",0.0622811213905617
"121",12,"positivity",-0.127673933698835
"122",12,"cases",0.310010357765837
"123",12,"death",0.0582290013265561
"124",13,"positivity",-0.143517925951508
"125",13,"cases",0.307298250408108
"126",13,"death",0.0455929909452918
"127",14,"positivity",-0.147484825741265
"128",14,"cases",0.294274462288722
"129",14,"death",0.0363073572014994
"130",15,"positivity",-0.161130686186375
"131",15,"cases",0.289024528313817
"132",15,"death",0.0163504194038474
"133",16,"positivity",-0.177047702107561
"134",16,"cases",0.283480728066524
"135",16,"death",-0.00673187192372704
"136",17,"positivity",-0.18931607270181
"137",17,"cases",0.276911627415053
"138",17,"death",-0.0320793104534839
"139",18,"positivity",-0.201808369173457
"140",18,"cases",0.270834921032129
"141",18,"death",-0.0571455995375803
"142",19,"positivity",-0.213127436341324
"143",19,"cases",0.263907501319161
"144",19,"death",-0.0846686198178429
"145",20,"positivity",-0.224000561240131
"146",20,"cases",0.256854534381172
"147",20,"death",-0.114581642422821
"148",21,"positivity",-0.238325063221476
"149",21,"cases",0.25079465675973
"150",21,"death",-0.146831803257463
"151",22,"positivity",-0.255726148263334
"152",22,"cases",0.242466185671536
"153",22,"death",-0.181191734365681
"154",23,"positivity",-0.274020727854704
"155",23,"cases",0.240603621261644
"156",23,"death",-0.21359679456353
"157",24,"positivity",-0.281106267196091
"158",24,"cases",0.233464698757044
"159",24,"death",-0.230720531043485
"160",25,"positivity",-0.288466136538469
"161",25,"cases",0.230742653805955
"162",25,"death",-0.248118887897413
"163",26,"positivity",-0.297211109635596
"164",26,"cases",0.229093505111655
"165",26,"death",-0.263021055531415
"166",27,"positivity",-0.315353842377477
"167",27,"cases",0.235801709583165
"168",27,"death",-0.288347319370698
"169",28,"positivity",-0.333279570720933
"170",28,"cases",0.244974110684898
"171",28,"death",-0.309660405226745
