"","shift","variable","rho"
"1",-28,"positivity",0.329413606168376
"2",-28,"cases",-0.511238291647659
"3",-28,"death",-0.364449154894411
"4",-27,"positivity",0.35422709893622
"5",-27,"cases",-0.514776276544786
"6",-27,"death",-0.376860078472579
"7",-26,"positivity",0.374538281192185
"8",-26,"cases",-0.523423368586127
"9",-26,"death",-0.3896665613062
"10",-25,"positivity",0.387220820626538
"11",-25,"cases",-0.530954516874265
"12",-25,"death",-0.402985731761212
"13",-24,"positivity",0.397478937053948
"14",-24,"cases",-0.538527774318746
"15",-24,"death",-0.415335021205872
"16",-23,"positivity",0.384126187479212
"17",-23,"cases",-0.531957428291413
"18",-23,"death",-0.412288717570972
"19",-22,"positivity",0.388676875011853
"20",-22,"cases",-0.538287740916411
"21",-22,"death",-0.425377234090064
"22",-21,"positivity",0.400186671487376
"23",-21,"cases",-0.5409496565302
"24",-21,"death",-0.434432029950144
"25",-20,"positivity",0.395014166379079
"26",-20,"cases",-0.538705031697391
"27",-20,"death",-0.438019679946327
"28",-19,"positivity",0.382552026759324
"29",-19,"cases",-0.523893147563758
"30",-19,"death",-0.432753401567567
"31",-18,"positivity",0.363738673370296
"32",-18,"cases",-0.507058766171387
"33",-18,"death",-0.425609221022795
"34",-17,"positivity",0.360603555475603
"35",-17,"cases",-0.497226036532421
"36",-17,"death",-0.424257887152189
"37",-16,"positivity",0.362810558254188
"38",-16,"cases",-0.485756790313401
"39",-16,"death",-0.422176482035424
"40",-15,"positivity",0.351109937975256
"41",-15,"cases",-0.460956994480575
"42",-15,"death",-0.4074312122167
"43",-14,"positivity",0.337242686473564
"44",-14,"cases",-0.43184060429768
"45",-14,"death",-0.38864028954693
"46",-13,"positivity",0.348374111078781
"47",-13,"cases",-0.418116832669967
"48",-13,"death",-0.385800396222258
"49",-12,"positivity",0.368905476943261
"50",-12,"cases",-0.402128203278608
"51",-12,"death",-0.382035541753309
"52",-11,"positivity",0.386276260565177
"53",-11,"cases",-0.385650369152175
"54",-11,"death",-0.37660971814896
"55",-10,"positivity",0.406939871382374
"56",-10,"cases",-0.366288032740607
"57",-10,"death",-0.364993279049357
"58",-9,"positivity",0.429067427551474
"59",-9,"cases",-0.344383442048186
"60",-9,"death",-0.351022690275412
"61",-8,"positivity",0.456554799834322
"62",-8,"cases",-0.319503160398029
"63",-8,"death",-0.33314738208616
"64",-7,"positivity",0.486574880729776
"65",-7,"cases",-0.291396653130511
"66",-7,"death",-0.310115944123502
"67",-6,"positivity",0.510532048863081
"68",-6,"cases",-0.261439093739317
"69",-6,"death",-0.282483648386827
"70",-5,"positivity",0.530563850579473
"71",-5,"cases",-0.233633776794292
"72",-5,"death",-0.254359910438264
"73",-4,"positivity",0.554027371212133
"74",-4,"cases",-0.203534380971682
