"","shift","variable","rho"
"1",-28,"positivity",0.139637857965789
"2",-28,"cases",-0.294130059082168
"3",-28,"death",-0.566088037134498
"4",-27,"positivity",0.168727407957083
"5",-27,"cases",-0.304887078083747
"6",-27,"death",-0.579195361462219
"7",-26,"positivity",0.196012345804235
"8",-26,"cases",-0.316553142703551
"9",-26,"death",-0.590196173912965
"10",-25,"positivity",0.213162739846877
"11",-25,"cases",-0.324941189734495
"12",-25,"death",-0.601031767478888
"13",-24,"positivity",0.225498665345031
"14",-24,"cases",-0.331101593381557
"15",-24,"death",-0.611577876621191
"16",-23,"positivity",0.232614361386667
"17",-23,"cases",-0.336402521235531
"18",-23,"death",-0.621244854373981
"19",-22,"positivity",0.245286765922483
"20",-22,"cases",-0.343496594088334
"21",-22,"death",-0.631279504191487
"22",-21,"positivity",0.257360200171708
"23",-21,"cases",-0.346259204116296
"24",-21,"death",-0.6388608601278
"25",-20,"positivity",0.262646713313197
"26",-20,"cases",-0.345180028562874
"27",-20,"death",-0.641633037144974
"28",-19,"positivity",0.258125012872393
"29",-19,"cases",-0.33520129693047
"30",-19,"death",-0.637707083904909
"31",-18,"positivity",0.256810455315793
"32",-18,"cases",-0.324716776868656
"33",-18,"death",-0.635531280527719
"34",-17,"positivity",0.255575686921203
"35",-17,"cases",-0.313457071807746
"36",-17,"death",-0.637146491459886
"37",-16,"positivity",0.255554057987498
"38",-16,"cases",-0.298535555999068
"39",-16,"death",-0.630526966270002
"40",-15,"positivity",0.264696890102469
"41",-15,"cases",-0.283767843594414
"42",-15,"death",-0.622521291834934
"43",-14,"positivity",0.274823956899195
"44",-14,"cases",-0.262214603318422
"45",-14,"death",-0.606493513711483
"46",-13,"positivity",0.280696456358704
"47",-13,"cases",-0.237577826308778
"48",-13,"death",-0.585433142697012
"49",-12,"positivity",0.288105043596683
"50",-12,"cases",-0.204046654981281
"51",-12,"death",-0.554468126218936
"52",-11,"positivity",0.290468639115879
"53",-11,"cases",-0.166954858097848
"54",-11,"death",-0.518623200757147
"55",-10,"positivity",0.317367486343376
"56",-10,"cases",-0.146052122820691
"57",-10,"death",-0.500237426654358
"58",-9,"positivity",0.354386336404587
"59",-9,"cases",-0.121213847108814
"60",-9,"death",-0.47580747021959
"61",-8,"positivity",0.387005290339612
"62",-8,"cases",-0.0957278569599159
"63",-8,"death",-0.448629837624952
"64",-7,"positivity",0.423529671314608
"65",-7,"cases",-0.0695734394911994
"66",-7,"death",-0.416320063466263
"67",-6,"positivity",0.462620074022815
"68",-6,"cases",-0.0424562980698924
"69",-6,"death",-0.379301249472476
"70",-5,"positivity",0.498695077215236
"71",-5,"cases",-0.0174577445507806
"72",-5,"death",-0.34064238860206
"73",-4,"positivity",0.531738812135627
"74",-4,"cases",0.00874574065230752
"75",-4,"death",-0.298081391614106
"76",-3,"positivity",0.558693615232749
"77",-3,"cases",0.0343610084560836
"78",-3,"death",-0.252006910734716
"79",-2,"positivity",0.583849119311129
"80",-2,"cases",0.0562682828728213
"81",-2,"death",-0.20330045112678
"82",-1,"positivity",0.608374628398609
"83",-1,"cases",0.0758637997353384
"84",-1,"death",-0.151699173655149
"85",0,"positivity",0.626989489751116
"86",0,"cases",0.0943572176951054
"87",0,"death",-0.0937217804844683
"88",1,"positivity",0.642024672494255
"89",1,"cases",0.108999292833562
"90",1,"death",-0.0322978586899555
"91",2,"positivity",0.653500194600637
"92",2,"cases",0.123769220844699
"93",2,"death",0.0312515177988461
"94",3,"positivity",0.662635217985666
"95",3,"cases",0.134279590652697
"96",3,"death",0.0934044741328742
"97",4,"positivity",0.670693486415765
"98",4,"cases",0.140572138991069
"99",4,"death",0.157565319731136
"100",5,"positivity",0.676726940598268
"101",5,"cases",0.14376186414893
"102",5,"death",0.224050765079171
"103",6,"positivity",0.676138446875504
"104",6,"cases",0.145263927310361
"105",6,"death",0.290519349888274
"106",7,"positivity",0.675279407812025
"107",7,"cases",0.142106065927524
"108",7,"death",0.355746442785713
"109",8,"positivity",0.671775765868469
"110",8,"cases",0.13735100092333
"111",8,"death",0.420427376184351
"112",9,"positivity",0.667845232434849
"113",9,"cases",0.130627924255809
"114",9,"death",0.474309615900133
"115",10,"positivity",0.661218684285422
"116",10,"cases",0.121300359734831
"117",10,"death",0.522122093946275
