"","shift","variable","rho"
"1",-28,"positivity",0.12442869465155
"2",-28,"cases",-0.385610282860432
"3",-28,"death",-0.611973679870593
"4",-27,"positivity",0.16670103049076
"5",-27,"cases",-0.387796153930945
"6",-27,"death",-0.622068223336317
"7",-26,"positivity",0.206767033409362
"8",-26,"cases",-0.389670435398717
"9",-26,"death",-0.633654131851106
"10",-25,"positivity",0.234446925624736
"11",-25,"cases",-0.385535796739189
"12",-25,"death",-0.643160821799614
"13",-24,"positivity",0.2451638234716
"14",-24,"cases",-0.370429701817039
"15",-24,"death",-0.646435690905778
"16",-23,"positivity",0.244480409139182
"17",-23,"cases",-0.34936936116684
"18",-23,"death",-0.646798898674537
"19",-22,"positivity",0.258107582791243
"20",-22,"cases",-0.33113155460874
"21",-22,"death",-0.646693165778358
"22",-21,"positivity",0.260952277332612
"23",-21,"cases",-0.300939746912698
"24",-21,"death",-0.630919393855281
"25",-20,"positivity",0.253182277123664
"26",-20,"cases",-0.265644842163755
"27",-20,"death",-0.608319953894551
"28",-19,"positivity",0.241609988963984
"29",-19,"cases",-0.225170843667248
"30",-19,"death",-0.575802414454461
"31",-18,"positivity",0.229033413245779
"32",-18,"cases",-0.177982814569541
"33",-18,"death",-0.537176165409806
"34",-17,"positivity",0.238488448046297
"35",-17,"cases",-0.153201877003637
"36",-17,"death",-0.526499466677883
"37",-16,"positivity",0.258490864079042
"38",-16,"cases",-0.128528789582393
"39",-16,"death",-0.51406558973028
"40",-15,"positivity",0.251041245446617
"41",-15,"cases",-0.0811858348798327
"42",-15,"death",-0.467234542900801
"43",-14,"positivity",0.245281851318382
"44",-14,"cases",-0.0328194945833796
"45",-14,"death",-0.418481310757463
"46",-13,"positivity",0.272570888245201
"47",-13,"cases",-0.0053211969870358
"48",-13,"death",-0.393732522383271
"49",-12,"positivity",0.313061824544612
"50",-12,"cases",0.0210935249731617
"51",-12,"death",-0.371694178452646
"52",-11,"positivity",0.342410169522805
"53",-11,"cases",0.0474728128370951
"54",-11,"death",-0.346197618822849
"55",-10,"positivity",0.37438920528415
"56",-10,"cases",0.074900489399202
"57",-10,"death",-0.316933262199557
"58",-9,"positivity",0.407653229574724
"59",-9,"cases",0.103213411710419
"60",-9,"death",-0.283456797421121
"61",-8,"positivity",0.441866926143105
"62",-8,"cases",0.132603015550042
"63",-8,"death",-0.247172279210891
"64",-7,"positivity",0.469466315777675
"65",-7,"cases",0.162796567999948
"66",-7,"death",-0.20591746911819
"67",-6,"positivity",0.492229831487128
"68",-6,"cases",0.191572148973191
"69",-6,"death",-0.165625388431629
"70",-5,"positivity",0.514156099858617
"71",-5,"cases",0.217906657432538
"72",-5,"death",-0.121857394946382
"73",-4,"positivity",0.53697698284198
"74",-4,"cases",0.244444832820288
"75",-4,"death",-0.0783292272241278
"76",-3,"positivity",0.553946089222519
"77",-3,"cases",0.268811007485233
"78",-3,"death",-0.0296372442139818
"79",-2,"positivity",0.569319363209431
"80",-2,"cases",0.290775622108857
"81",-2,"death",0.0191121942501398
"82",-1,"positivity",0.578980479054179
"83",-1,"cases",0.309561335882244
"84",-1,"death",0.0679049154965651
"85",0,"positivity",0.585505843779386
"86",0,"cases",0.326059874593485
"87",0,"death",0.122146807989878
"88",1,"positivity",0.594224500116537
"89",1,"cases",0.339743005582912
"90",1,"death",0.181295836901168
"91",2,"positivity",0.596836522916993
"92",2,"cases",0.351519604543975
"93",2,"death",0.240041905000226
"94",3,"positivity",0.587807008235889
"95",3,"cases",0.357246844202284
"96",3,"death",0.296262503127785
"97",4,"positivity",0.578094876738527
