"","shift","variable","rho"
"1",-28,"positivity",-0.213906200988746
"2",-28,"cases",-0.305832077825385
"3",-28,"death",-0.489249035833929
"4",-27,"positivity",-0.182499722973107
"5",-27,"cases",-0.3013689545976
"6",-27,"death",-0.508714398810482
"7",-26,"positivity",-0.151024110891299
"8",-26,"cases",-0.296200601824879
"9",-26,"death",-0.527814623523485
"10",-25,"positivity",-0.124893164773952
"11",-25,"cases",-0.286577749109345
"12",-25,"death",-0.542487996971753
"13",-24,"positivity",-0.102470755880222
"14",-24,"cases",-0.274340946037909
"15",-24,"death",-0.555614697568623
"16",-23,"positivity",-0.0817341201233231
"17",-23,"cases",-0.260100142913123
"18",-23,"death",-0.567126746094013
"19",-22,"positivity",-0.0644233448861885
"20",-22,"cases",-0.241851329647142
"21",-22,"death",-0.576040755960814
"22",-21,"positivity",-0.0511832127700745
"23",-21,"cases",-0.218304356300947
"24",-21,"death",-0.579916888943433
"25",-20,"positivity",-0.0442799660632192
"26",-20,"cases",-0.187080906948808
"27",-20,"death",-0.576001973665952
"28",-19,"positivity",-0.0410426644795345
"29",-19,"cases",-0.150261792319777
"30",-19,"death",-0.564688024066661
"31",-18,"positivity",-0.0369838498062158
"32",-18,"cases",-0.111262231982342
"33",-18,"death",-0.551478076998143
"34",-17,"positivity",-0.0341840848382087
"35",-17,"cases",-0.0688589964241012
"36",-17,"death",-0.532129018747688
"37",-16,"positivity",-0.0292331506219718
"38",-16,"cases",-0.025951368268595
"39",-16,"death",-0.511037500837053
"40",-15,"positivity",-0.0208403564458706
"41",-15,"cases",0.0166146247583791
"42",-15,"death",-0.488623149249485
"43",-14,"positivity",-0.0123499745903419
"44",-14,"cases",0.0606000272755604
"45",-14,"death",-0.46183121299018
"46",-13,"positivity",-0.00260979073513356
"47",-13,"cases",0.105574016990484
"48",-13,"death",-0.431699825439074
"49",-12,"positivity",0.00812817070503704
"50",-12,"cases",0.151635233661627
"51",-12,"death",-0.398324587911446
"52",-11,"positivity",0.0194860420765259
"53",-11,"cases",0.198082260390281
"54",-11,"death",-0.361446225454781
"55",-10,"positivity",0.0504748327259933
"56",-10,"cases",0.232610975515623
"57",-10,"death",-0.343461361228219
"58",-9,"positivity",0.0876994684697383
"59",-9,"cases",0.267746000008097
"60",-9,"death",-0.323216916561073
"61",-8,"positivity",0.0999019603889135
"62",-8,"cases",0.316231392097453
"63",-8,"death",-0.279640574810943
"64",-7,"positivity",0.107067613258608
"65",-7,"cases",0.363570578938039
"66",-7,"death",-0.235906834895283
"67",-6,"positivity",0.117688342251484
"68",-6,"cases",0.409115835605621
"69",-6,"death",-0.191402026625324
"70",-5,"positivity",0.145528303836385
"71",-5,"cases",0.442848138126926
"72",-5,"death",-0.165233820877619
"73",-4,"positivity",0.175673928782879
"74",-4,"cases",0.475433167327846
"75",-4,"death",-0.13689099626935
"76",-3,"positivity",0.197086812599739
"77",-3,"cases",0.506059619820976
"78",-3,"death",-0.108003230266823
"79",-2,"positivity",0.21848869276666
"80",-2,"cases",0.534929097475012
"81",-2,"death",-0.0774404878403695
"82",-1,"positivity",0.238532736347848
"83",-1,"cases",0.561658569796947
"84",-1,"death",-0.0432142245619675
"85",0,"positivity",0.256018584986676
"86",0,"cases",0.587002328069419
"87",0,"death",-0.00659321182460879
"88",1,"positivity",0.267657473937891
"89",1,"cases",0.610300170799395
"90",1,"death",0.0323021408334632
"91",2,"positivity",0.276543521956508
"92",2,"cases",0.630694956864264
"93",2,"death",0.0708722792506055
"94",3,"positivity",0.282672454295486
"95",3,"cases",0.647774262298725
"96",3,"death",0.109602007437678
"97",4,"positivity",0.285521427758475
