"","shift","variable","rho"
"1",-28,"positivity",0.237892120958073
"2",-28,"cases",-0.611934858539212
"3",-28,"death",-0.548792818054664
"4",-27,"positivity",0.26675174968467
"5",-27,"cases",-0.605062138857962
"6",-27,"death",-0.562245199297715
"7",-26,"positivity",0.292127978804103
"8",-26,"cases",-0.599775867397739
"9",-26,"death",-0.573477485013597
"10",-25,"positivity",0.309959371580108
"11",-25,"cases",-0.59512573550089
"12",-25,"death",-0.583518200442435
"13",-24,"positivity",0.321706376087563
"14",-24,"cases",-0.588594613914988
"15",-24,"death",-0.590663619383837
"16",-23,"positivity",0.331571277276845
"17",-23,"cases",-0.581354260395526
"18",-23,"death",-0.596162946344496
"19",-22,"positivity",0.341644467342687
"20",-22,"cases",-0.57225045398159
"21",-22,"death",-0.599615113369207
"22",-21,"positivity",0.348954332505005
"23",-21,"cases",-0.560115058141984
"24",-21,"death",-0.599250668608034
"25",-20,"positivity",0.351932165119151
"26",-20,"cases",-0.543961728156635
"27",-20,"death",-0.596018127032284
"28",-19,"positivity",0.353272993793699
"29",-19,"cases",-0.525742421592395
"30",-19,"death",-0.588790632415068
"31",-18,"positivity",0.357177870834728
"32",-18,"cases",-0.506807023578897
"33",-18,"death",-0.580177170672919
"34",-17,"positivity",0.358840362325721
"35",-17,"cases",-0.48576639883596
"36",-17,"death",-0.56733891391705
"37",-16,"positivity",0.365577635499188
"38",-16,"cases",-0.46412769340652
"39",-16,"death",-0.554702431705438
"40",-15,"positivity",0.375435115901531
"41",-15,"cases",-0.443179077860567
"42",-15,"death",-0.540196325031187
"43",-14,"positivity",0.384684455355958
"44",-14,"cases",-0.415965645643493
"45",-14,"death",-0.518695675633746
"46",-13,"positivity",0.392150757696399
"47",-13,"cases",-0.380766612038751
"48",-13,"death",-0.48784008095932
"49",-12,"positivity",0.39166629280788
"50",-12,"cases",-0.335140113912262
"51",-12,"death",-0.446176712912577
"52",-11,"positivity",0.388486274252685
"53",-11,"cases",-0.285187074786024
"54",-11,"death",-0.400138311218846
"55",-10,"positivity",0.382099489507145
"56",-10,"cases",-0.227967637327304
"57",-10,"death",-0.34660722688825
"58",-9,"positivity",0.410881625566161
"59",-9,"cases",-0.200588080650938
"60",-9,"death",-0.322126787630863
"61",-8,"positivity",0.41622329954362
