"","shift","variable","rho"
"1",-28,"positivity",0.38291592543145
"2",-28,"cases",-0.424448386759089
"3",-28,"death",-0.681705927403595
"4",-27,"positivity",0.36970078954512
"5",-27,"cases",-0.425730202392351
"6",-27,"death",-0.69249244547435
"7",-26,"positivity",0.39747433756256
"8",-26,"cases",-0.468523281087378
"9",-26,"death",-0.702551632710911
"10",-25,"positivity",0.448536330520841
"11",-25,"cases",-0.502277409591247
"12",-25,"death",-0.722190922016507
"13",-24,"positivity",0.431582457566967
"14",-24,"cases",-0.502866086944837
"15",-24,"death",-0.726240246236197
"16",-23,"positivity",0.435464274529627
"17",-23,"cases",-0.53176209414439
"18",-23,"death",-0.746012734864047
"19",-22,"positivity",0.41780871423208
"20",-22,"cases",-0.532925948137418
"21",-22,"death",-0.7496869331902
"22",-21,"positivity",0.431828589675266
"23",-21,"cases",-0.556464901829705
"24",-21,"death",-0.764774050579759
"25",-20,"positivity",0.42941601630329
"26",-20,"cases",-0.557744920300029
"27",-20,"death",-0.770919324636459
"28",-19,"positivity",0.409294201959561
"29",-19,"cases",-0.557322138910445
"30",-19,"death",-0.768853038635052
"31",-18,"positivity",0.404284588564654
"32",-18,"cases",-0.557180706411966
"33",-18,"death",-0.767813502765968
"34",-17,"positivity",0.390599694567753
"35",-17,"cases",-0.554836551739493
"36",-17,"death",-0.766946812416865
"37",-16,"positivity",0.393281388972976
"38",-16,"cases",-0.548786457072359
"39",-16,"death",-0.762845737645237
"40",-15,"positivity",0.395896665343409
"41",-15,"cases",-0.544875941904557
"42",-15,"death",-0.756048123852166
"43",-14,"positivity",0.410131051048837
"44",-14,"cases",-0.539275292880694
"45",-14,"death",-0.741291437872892
"46",-13,"positivity",0.421238831116507
"47",-13,"cases",-0.531885775866179
"48",-13,"death",-0.726624018424039
"49",-12,"positivity",0.444814009251555
"50",-12,"cases",-0.521920431496176
"51",-12,"death",-0.712984699662772
"52",-11,"positivity",0.472868460066903
"53",-11,"cases",-0.5058247685612
"54",-11,"death",-0.698265132923157
"55",-10,"positivity",0.503633792152974
"56",-10,"cases",-0.490819697297602
"57",-10,"death",-0.679118961478462
"58",-9,"positivity",0.532481848352207
"59",-9,"cases",-0.477940163393697
"60",-9,"death",-0.65098494256991
"61",-8,"positivity",0.573111213661092
"62",-8,"cases",-0.457839673625743
"63",-8,"death",-0.623793044029009
"64",-7,"positivity",0.609945016158189
"65",-7,"cases",-0.437213590242731
"66",-7,"death",-0.589157484731116
"67",-6,"positivity",0.648128841757589
"68",-6,"cases",-0.41506206740943
"69",-6,"death",-0.554275156034234
"70",-5,"positivity",0.678705092496075
"71",-5,"cases",-0.394182160843549
"72",-5,"death",-0.50946664316356
"73",-4,"positivity",0.706456987385609
"74",-4,"cases",-0.373428168052511
"75",-4,"death",-0.459129983457465
"76",-3,"positivity",0.73384337664099
"77",-3,"cases",-0.3537972365826
"78",-3,"death",-0.401522220353266
"79",-2,"positivity",0.760973378048567
"80",-2,"cases",-0.330966826226516
"81",-2,"death",-0.34262636250477
"82",-1,"positivity",0.777134323341881
"83",-1,"cases",-0.316186784874044
"84",-1,"death",-0.269398088367906
"85",0,"positivity",0.801081623718568
"86",0,"cases",-0.297560679040024
"87",0,"death",-0.179280846249175
"88",1,"positivity",0.820115124851608
"89",1,"cases",-0.277870109505873
"90",1,"death",-0.082227421823993
"91",2,"positivity",0.833831226373252
"92",2,"cases",-0.258732653581239
"93",2,"death",0.0247652998480911
"94",3,"positivity",0.847866474352394
"95",3,"cases",-0.245637003436353
"96",3,"death",0.118253785926171
"97",4,"positivity",0.854835254314612
"98",4,"cases",-0.229924980055211
"99",4,"death",0.210887845309482
"100",5,"positivity",0.867112083070226
"101",5,"cases",-0.220605117426644
"102",5,"death",0.309298142035216
"103",6,"positivity",0.874513072425733
"104",6,"cases",-0.209533839800029
"105",6,"death",0.388968115175537
"106",7,"positivity",0.878131786100096
"107",7,"cases",-0.20119553304907
"108",7,"death",0.468013400559069
"109",8,"positivity",0.885449147155964
"110",8,"cases",-0.200376783841832
"111",8,"death",0.546295950806617
"112",9,"positivity",0.892097756931714
"113",9,"cases",-0.198592106674646
"114",9,"death",0.59989316241495
"115",10,"positivity",0.896375564204022
"116",10,"cases",-0.197841954266317
"117",10,"death",0.655946099261328
"118",11,"positivity",0.905249848973246
"119",11,"cases",-0.203524137049586
"120",11,"death",0.690328441600806
"121",12,"positivity",0.907398002535648
"122",12,"cases",-0.20699084314398
"123",12,"death",0.725758839275418
"124",13,"positivity",0.912188922571654
"125",13,"cases",-0.212289169730203
"126",13,"death",0.751375763842385
"127",14,"positivity",0.914858692179331
"128",14,"cases",-0.221774765332692
"129",14,"death",0.778073644502576
"130",15,"positivity",0.920853394276339
"131",15,"cases",-0.226840431169488
"132",15,"death",0.796732403613001
"133",16,"positivity",0.920721494259135
"134",16,"cases",-0.234670533524269
"135",16,"death",0.806621720516646
"136",17,"positivity",0.920911211803048
"137",17,"cases",-0.238856024151847
"138",17,"death",0.815761791685561
"139",18,"positivity",0.919473685791265
"140",18,"cases",-0.244514593253556
"141",18,"death",0.823683355526495
"142",19,"positivity",0.915101771980508
"143",19,"cases",-0.24949007812042
"144",19,"death",0.828705308743676
"145",20,"positivity",0.907518178406027
"146",20,"cases",-0.257622541037716
"147",20,"death",0.831983581100723
"148",21,"positivity",0.902452684528106
"149",21,"cases",-0.267366835162154
"150",21,"death",0.833283325794334
"151",22,"positivity",0.890357058486408
"152",22,"cases",-0.273834838271367
"153",22,"death",0.845381824930431
"154",23,"positivity",0.883153192442518
"155",23,"cases",-0.280488075234798
"156",23,"death",0.847983922002155
"157",24,"positivity",0.872706975802591
"158",24,"cases",-0.291471769390384
"159",24,"death",0.847570363727578
"160",25,"positivity",0.864132732282292
"161",25,"cases",-0.300639885775334
"162",25,"death",0.851713503183054
"163",26,"positivity",0.850820194860352
"164",26,"cases",-0.314406946421513
"165",26,"death",0.852322407505409
"166",27,"positivity",0.848754088047963
"167",27,"cases",-0.327318176758333
