"","shift","variable","rho"
"1",-28,"positivity",0.424511257936924
"2",-28,"cases",-0.665675325103087
"3",-28,"death",-0.513702346018118
"4",-27,"positivity",0.449045962794248
"5",-27,"cases",-0.659307966370214
"6",-27,"death",-0.519929344821992
"7",-26,"positivity",0.476442700635662
"8",-26,"cases",-0.651594183090523
"9",-26,"death",-0.527771169485887
"10",-25,"positivity",0.498862285746986
"11",-25,"cases",-0.646379719106411
"12",-25,"death",-0.536137187356157
"13",-24,"positivity",0.514807494842429
"14",-24,"cases",-0.640642312952095
"15",-24,"death",-0.541261960318015
"16",-23,"positivity",0.530721619908534
"17",-23,"cases",-0.633584519185957
"18",-23,"death",-0.543535674692328
"19",-22,"positivity",0.547258845645745
"20",-22,"cases",-0.625128856642283
"21",-22,"death",-0.544398156856387
"22",-21,"positivity",0.558010281997074
"23",-21,"cases",-0.610493585350649
"24",-21,"death",-0.53924275348188
"25",-20,"positivity",0.555779948446806
"26",-20,"cases",-0.58453887948967
"27",-20,"death",-0.523895177454806
"28",-19,"positivity",0.540375850662102
"29",-19,"cases",-0.547761680179193
"30",-19,"death",-0.496725102711224
"31",-18,"positivity",0.519318502847998
"32",-18,"cases",-0.502473053181222
"33",-18,"death",-0.460379419181638
"34",-17,"positivity",0.525298853868999
"35",-17,"cases",-0.479623615840391
"36",-17,"death",-0.443067098932481
"37",-16,"positivity",0.505283879649861
"38",-16,"cases",-0.429054693542054
"39",-16,"death",-0.39748059141444
"40",-15,"positivity",0.503277370919822
"41",-15,"cases",-0.406096882150762
"42",-15,"death",-0.374608875753257
"43",-14,"positivity",0.525613135437075
"44",-14,"cases",-0.381755411852496
"45",-14,"death",-0.347576418666767
"46",-13,"positivity",0.539279066238522
"47",-13,"cases",-0.357415688899493
"48",-13,"death",-0.316772128183722
"49",-12,"positivity",0.559533439512312
"50",-12,"cases",-0.332894281555211
"51",-12,"death",-0.286253279745637
"52",-11,"positivity",0.578031302821083
"53",-11,"cases",-0.308610994137256
"54",-11,"death",-0.255138619008537
"55",-10,"positivity",0.598794021581725
"56",-10,"cases",-0.284238788730318
"57",-10,"death",-0.222574412781524
"58",-9,"positivity",0.625851726579303
"59",-9,"cases",-0.259475020186
"60",-9,"death",-0.185099498225331
"61",-8,"positivity",0.652067546448615
"62",-8,"cases",-0.233245777599145
"63",-8,"death",-0.143343035518769
"64",-7,"positivity",0.676293965660161
"65",-7,"cases",-0.206115603980392
"66",-7,"death",-0.0973734547711895
"67",-6,"positivity",0.699028302756945
"68",-6,"cases",-0.178698813550918
"69",-6,"death",-0.0483002786387122
"70",-5,"positivity",0.718571794317825
"71",-5,"cases",-0.153275496321084
"72",-5,"death",7.94477583121426e-05
"73",-4,"positivity",0.733026923810953
"74",-4,"cases",-0.129430000080073
"75",-4,"death",0.0487862470526412
"76",-3,"positivity",0.746835334062221
"77",-3,"cases",-0.1050635171945
"78",-3,"death",0.0999329429375527
"79",-2,"positivity",0.753068547148202
"80",-2,"cases",-0.0818890922199042
"81",-2,"death",0.149136920399761
"82",-1,"positivity",0.754837034957649
"83",-1,"cases",-0.0604637356170903
"84",-1,"death",0.200565644188061
"85",0,"positivity",0.758550318951415
"86",0,"cases",-0.0405216944048426
"87",0,"death",0.253251973240579
"88",1,"positivity",0.761905331649574
"89",1,"cases",-0.0231181008638916
"90",1,"death",0.304921844618281
"91",2,"positivity",0.758667879352646
"92",2,"cases",-0.00750085913629948
"93",2,"death",0.357713969051401
"94",3,"positivity",0.757114124823081
"95",3,"cases",0.007078838028451
"96",3,"death",0.408783050345178
"97",4,"positivity",0.750874737697068
"98",4,"cases",0.015640370207563
"99",4,"death",0.456856072378508
"100",5,"positivity",0.745377808271289
"101",5,"cases",0.0212818142667466
"102",5,"death",0.504702333178917
"103",6,"positivity",0.737938237167213
